HEADER[~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ORG_MGR_UNVL_ID::VARCHAR~&~	~&~ORG_NM::VARCHAR~&~	~&~RC_CD::VARCHAR~&~	~&~ORG_PHYS_CMP_CD::VARCHAR~&~	~&~ORG_TYP_CD::VARCHAR~&~	~&~ORG_DFLT_ACCT_NBR::VARCHAR~&~	~&~ORG_LN1_ADDR::VARCHAR~&~	~&~ORG_LN2_ADDR::VARCHAR~&~	~&~ORG_CITY_NM::VARCHAR~&~	~&~ORG_STATE_CD::VARCHAR~&~	~&~ORG_ZIP_CD::VARCHAR~&~	~&~ORG_CNTRY_CD::VARCHAR~&~	~&~ORG_BEGIN_DT::TIMESTAMP~&~	~&~ORG_END_DT::TIMESTAMP~&~	~&~RPTS_TO_FIN_COA_CD::VARCHAR~&~	~&~RPTS_TO_ORG_CD::VARCHAR~&~	~&~ORG_ACTIVE_CD::VARCHAR~&~	~&~ORG_IN_FP_CD::VARCHAR~&~	~&~ORG_PLNT_ACCT_NBR::VARCHAR~&~	~&~CMP_PLNT_ACCT_NBR::VARCHAR~&~	~&~ORG_PLNT_COA_CD::VARCHAR~&~	~&~CMP_PLNT_COA_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BA'~&~	~&~'ADGE'~&~	~&~'014F3DAF7563A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3584609748'~&~	~&~'CENTRAL ADMINISTRATION'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6030000'~&~	~&~'801 N. JORDAN AVE.'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200003210000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'CAGE'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9530000'~&~	~&~'9530000'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADSH'~&~	~&~'014F3DAF7564A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3584609748'~&~	~&~'RPAS SINGLE STUDENT HOUSING ADMIN'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6030000'~&~	~&~'801 N. JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209802060000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'HOUS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9530600'~&~	~&~'9530600'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'AHDU'~&~	~&~'014F3DAF7565A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'6219307217'~&~	~&~'ASSEMBLY HALL DUPLICATING CENTER'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6042704'~&~	~&~'BRYAN 100'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209307010000000000'~&~	~&~'200108100000000000'~&~	~&~'BA'~&~	~&~'CODS'~&~	~&~'N'~&~	~&~'N'~&~	~&~'9542704'~&~	~&~'9520000'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'APTS'~&~	~&~'014F3DAF7566A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3584609748'~&~	~&~'APARTMENT HOUSING'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'6030700'~&~	~&~'801 N. JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209903290000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'HALL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9520080'~&~	~&~'9520000'~&~	~&~'BL'~&~	~&~'BL'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASBR'~&~	~&~'014F3DAF7567A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3570803537'~&~	~&~'GRAD WOMEN!S RES BLDG REPAIR'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'9243201'~&~	~&~'801 N JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209408010000000000'~&~	~&~'200004040000000000'~&~	~&~'BA'~&~	~&~'HALL'~&~	~&~'N'~&~	~&~'N'~&~	~&~'9530500'~&~	~&~'9530500'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASDR'~&~	~&~'014F3DAF7568A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3584609748'~&~	~&~'ASHTON DINING ROOM'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'6030534'~&~	~&~'801 N. JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209903290000000000'~&~	~&~'200307030000000000'~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'N'~&~	~&~'N'~&~	~&~'9530534'~&~	~&~'9530534'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASER'~&~	~&~'014F3DAF7569A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3570803537'~&~	~&~'GRAD RES CT EQUIP REPL'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'9243220'~&~	~&~'801 N JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209408010000000000'~&~	~&~'209802110000000000'~&~	~&~'BA'~&~	~&~'HALL'~&~	~&~'N'~&~	~&~'N'~&~	~&~'9530500'~&~	~&~'9530500'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASGE'~&~	~&~'014F3DAF756AA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3584609748'~&~	~&~'RPAS ASSIGNMENTS'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6030000'~&~	~&~'801 N JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209910010000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'CAGE'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9530035'~&~	~&~'9530035'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASSH'~&~	~&~'014F3DAF756BA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3584609748'~&~	~&~'ASHTON - EAST'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'6032000'~&~	~&~'801 N. JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209408010000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'ACSH'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9532000'~&~	~&~'9532000'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASSP'~&~	~&~'014F3DAF756CA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3570803537'~&~	~&~'ASHTON SALAD PREP'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6030535'~&~	~&~'80L N. JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209603190000000000'~&~	~&~'209802090000000000'~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'N'~&~	~&~'N'~&~	~&~'9530500'~&~	~&~'9530500'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'AUTM'~&~	~&~'014F3DAF756DA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'5949304259'~&~	~&~'AUDITORIUM'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'E'~&~	~&~'6041400'~&~	~&~'IMU'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209307010000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'IMAU'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9541400'~&~	~&~'9520000'~&~	~&~'BA'~&~	~&~'BL'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'AWSH'~&~	~&~'014F3DAF756EA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3584609748'~&~	~&~'ASHTON - WEST'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6030533'~&~	~&~'801 N. JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209802200000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'ACSH'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9530500'~&~	~&~'9530500'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'AXOP'~&~	~&~'014F3DAF756FA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'4075208273'~&~	~&~'ADMIN SERVICES AND PROGRAMS OPERATIONS'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6021000'~&~	~&~'801 N. JORDAN AVE.'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209708140000000000'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'AXSV'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9520080'~&~	~&~'9520000'~&~	~&~'BL'~&~	~&~'BL'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BBAH'~&~	~&~'014F3DAF7570A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3584609748'~&~	~&~'BBHN MARRIED STUDENT APTS 2'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'6033000'~&~	~&~'801 N JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209903290000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'APTS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9533000'~&~	~&~'9533000'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BBBR'~&~	~&~'014F3DAF7571A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3570803537'~&~	~&~'BBHN BLDG REPAIR'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'9243301'~&~	~&~'801 N JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209408010000000000'~&~	~&~'209802110000000000'~&~	~&~'BA'~&~	~&~'HALL'~&~	~&~'N'~&~	~&~'N'~&~	~&~'9533000'~&~	~&~'9533000'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BBER'~&~	~&~'014F3DAF7572A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3570803537'~&~	~&~'BBHN EQUIP REPL'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'9243300'~&~	~&~'801 N JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209408010000000000'~&~	~&~'209802110000000000'~&~	~&~'BA'~&~	~&~'HALL'~&~	~&~'N'~&~	~&~'N'~&~	~&~'9533000'~&~	~&~'9533000'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BCD'~&~	~&~'014F3DAF8000A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'5653408083'~&~	~&~'BOOKSTORE/CARD/DUP'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6020500'~&~	~&~'10TH AND BYPASS'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200109070000000000'~&~	~&~'200109070000000000'~&~	~&~'BA'~&~	~&~'AXOP'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BHDR'~&~	~&~'014F3DAF8155A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3584609748'~&~	~&~'BALLANTINE HALL DINING ROOM'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'6033540'~&~	~&~'801 N JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200309030000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9533540'~&~	~&~'9533540'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BHDU'~&~	~&~'014F3DAF7573A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'5653408083'~&~	~&~'BALLANTINE HALL DUPLICATING CENTER'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6622502'~&~	~&~'10TH ~ BYPASS'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200108150000000000'~&~	~&~'200108150000000000'~&~	~&~'BA'~&~	~&~'DSER'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BKAD'~&~	~&~'014F3DAF8051A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'5653408083'~&~	~&~'B/SS ADMINISTRATION'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6020500'~&~	~&~'2715 E. 10TH STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200108070000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'BKST'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9520400'~&~	~&~'9520400'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BKST'~&~	~&~'014F3DAF8046A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'5653408083'~&~	~&~'IU BOOKSTORE ~ SERVICE CENTER'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6020500'~&~	~&~'2715 E. TENTH STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200207120000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'AXOP'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9520500'~&~	~&~'9520500'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BLDM'~&~	~&~'014F3DAF7574A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'4640605151'~&~	~&~'BUILDING MAINTENANCE'~&~	~&~'82'~&~	~&~'BL'~&~	~&~'O'~&~	~&~NULL~&~	~&~'SERVICE'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209307010000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'PHYP'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9526000'~&~	~&~'9520000'~&~	~&~'BA'~&~	~&~'BL'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BOOK'~&~	~&~'014F3DAF7575A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'5653408083'~&~	~&~'BOOKSTORE OPERATIONS'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'B'~&~	~&~'6020500'~&~	~&~'IMU'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200201240000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'BKST'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9520500'~&~	~&~'9520500'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BRAD'~&~	~&~'014F3DAF7576A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'5009908085'~&~	~&~'BRADFORD WOODS'~&~	~&~'28'~&~	~&~'BL'~&~	~&~'E'~&~	~&~'6042200'~&~	~&~'5040 SR 67 NORTH'~&~	~&~NULL~&~	~&~'MARTINSVILLE'~&~	~&~'IN'~&~	~&~'46151'~&~	~&~'US'~&~	~&~'209307010000000000'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'RPAD'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9542200'~&~	~&~'9542200'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BRBR'~&~	~&~'014F3DAF7577A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3570803537'~&~	~&~'BRISCOE QUAD BLDG REPAIR'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'9243251'~&~	~&~'801 N JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209408010000000000'~&~	~&~'209802110000000000'~&~	~&~'BA'~&~	~&~'HALL'~&~	~&~'N'~&~	~&~'N'~&~	~&~'9532500'~&~	~&~'9532500'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
