HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~ACCT_SF_CD::VARCHAR~&~	~&~CURR_BDGT_BAL_AMT::DECIMAL~&~	~&~ACCT_ACTL_XPND_AMT::DECIMAL~&~	~&~ACCT_ENCUM_AMT::DECIMAL~&~	~&~TIMESTAMP::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211206'~&~	~&~'IDEX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74658.26'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211206'~&~	~&~'TRVL'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'42127.25'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211207'~&~	~&~'CMPN'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74597.76'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211207'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'621563.05'~&~	~&~'309266.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211207'~&~	~&~'IDEX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74658.26'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211207'~&~	~&~'TRVL'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'42127.25'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211208'~&~	~&~'CMPN'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74597.76'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211208'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'621563.05'~&~	~&~'309266.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211208'~&~	~&~'IDEX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74658.26'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211208'~&~	~&~'TRVL'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'42127.25'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211209'~&~	~&~'CMPN'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74597.76'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211209'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'621563.05'~&~	~&~'309266.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211209'~&~	~&~'IDEX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74658.26'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211209'~&~	~&~'TRVL'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'42127.25'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211301'~&~	~&~'    '~&~	~&~'H'~&~	~&~'7598.80'~&~	~&~'0.00'~&~	~&~'89.24'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211302'~&~	~&~'    '~&~	~&~'H'~&~	~&~'7598.80'~&~	~&~'0.00'~&~	~&~'89.24'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211303'~&~	~&~'    '~&~	~&~'H'~&~	~&~'7598.80'~&~	~&~'0.00'~&~	~&~'89.24'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211304'~&~	~&~'    '~&~	~&~'H'~&~	~&~'7598.80'~&~	~&~'0.00'~&~	~&~'89.24'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211305'~&~	~&~'    '~&~	~&~'H'~&~	~&~'7598.80'~&~	~&~'0.00'~&~	~&~'89.24'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211306'~&~	~&~'    '~&~	~&~'H'~&~	~&~'7598.80'~&~	~&~'0.00'~&~	~&~'89.24'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211307'~&~	~&~'    '~&~	~&~'H'~&~	~&~'7598.80'~&~	~&~'0.00'~&~	~&~'89.24'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211308'~&~	~&~'    '~&~	~&~'H'~&~	~&~'7598.80'~&~	~&~'0.00'~&~	~&~'89.24'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211309'~&~	~&~'    '~&~	~&~'H'~&~	~&~'7598.80'~&~	~&~'0.00'~&~	~&~'89.24'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211401'~&~	~&~'    '~&~	~&~'H'~&~	~&~'-309.71'~&~	~&~'0.00'~&~	~&~'198.28'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211402'~&~	~&~'    '~&~	~&~'H'~&~	~&~'-309.71'~&~	~&~'0.00'~&~	~&~'198.28'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211403'~&~	~&~'    '~&~	~&~'H'~&~	~&~'-309.71'~&~	~&~'0.00'~&~	~&~'198.28'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211404'~&~	~&~'    '~&~	~&~'H'~&~	~&~'-309.71'~&~	~&~'0.00'~&~	~&~'198.28'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211405'~&~	~&~'    '~&~	~&~'H'~&~	~&~'-309.71'~&~	~&~'0.00'~&~	~&~'198.28'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211406'~&~	~&~'    '~&~	~&~'H'~&~	~&~'-309.71'~&~	~&~'0.00'~&~	~&~'198.28'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211407'~&~	~&~'    '~&~	~&~'H'~&~	~&~'-309.71'~&~	~&~'0.00'~&~	~&~'198.28'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211408'~&~	~&~'    '~&~	~&~'H'~&~	~&~'-309.71'~&~	~&~'0.00'~&~	~&~'198.28'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211409'~&~	~&~'    '~&~	~&~'H'~&~	~&~'-309.71'~&~	~&~'0.00'~&~	~&~'198.28'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211501'~&~	~&~'ADV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'19.30'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211501'~&~	~&~'S&E'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'25.85'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211501'~&~	~&~'SERV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'109.50'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211502'~&~	~&~'ADV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'19.30'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211502'~&~	~&~'S&E'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'25.85'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211502'~&~	~&~'SERV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'109.50'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211503'~&~	~&~'ADV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'19.30'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211503'~&~	~&~'S&E'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'25.85'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211503'~&~	~&~'SERV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'109.50'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211504'~&~	~&~'ADV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'19.30'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211504'~&~	~&~'S&E'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'25.85'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211504'~&~	~&~'SERV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'109.50'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211505'~&~	~&~'ADV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'19.30'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211505'~&~	~&~'S&E'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'25.85'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211505'~&~	~&~'SERV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'109.50'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211506'~&~	~&~'ADV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'19.30'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211506'~&~	~&~'S&E'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'25.85'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211506'~&~	~&~'SERV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'109.50'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211507'~&~	~&~'ADV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'19.30'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211507'~&~	~&~'S&E'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'25.85'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211507'~&~	~&~'SERV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'109.50'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211508'~&~	~&~'ADV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'19.30'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211508'~&~	~&~'S&E'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'25.85'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211508'~&~	~&~'SERV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'109.50'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211509'~&~	~&~'ADV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'19.30'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211509'~&~	~&~'S&E'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'25.85'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211509'~&~	~&~'SERV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'109.50'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'ACSA'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'184430.45'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'BENF'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'59368.59'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'BISA'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'27007.86'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'FINA'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'3354.45'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'HRCO'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'25006.24'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'ICOE'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'145820.79'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'OEXP'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'310.00'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'PART'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'4500.00'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'PHON'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'79.32'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'PRIN'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'384.43'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'R&M'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'958.23'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'S&E'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'29356.80'~&~	~&~'198.28'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'SAAP'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'17280.00'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'TRAV'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'5417.44'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211602'~&~	~&~'ACSA'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'184430.45'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211602'~&~	~&~'BENF'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'59368.59'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211602'~&~	~&~'BISA'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'27007.86'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211602'~&~	~&~'FINA'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'3354.45'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211602'~&~	~&~'HRCO'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'25006.24'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211602'~&~	~&~'ICOE'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'145820.79'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211602'~&~	~&~'OEXP'~&~	~&~'L'~&~	~&~'0.00'~&~	~&~'310.00'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
