HEADER[~&~	~&~VNDR_HDR_GNRTD_ID::DECIMAL~&~	~&~VNDR_DTL_ASND_ID::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~VNDR_PARENT_IND::VARCHAR~&~	~&~VNDR_NM::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~VNDR_INACTV_REAS_CD::VARCHAR~&~	~&~VNDR_DUNS_NBR::VARCHAR~&~	~&~VNDR_PMT_TERM_CD::VARCHAR~&~	~&~VNDR_SHP_TTL_CD::VARCHAR~&~	~&~VNDR_SHP_PMT_TERM_CD::VARCHAR~&~	~&~VNDR_CNFM_IND::VARCHAR~&~	~&~VNDR_PRPYMT_IND::VARCHAR~&~	~&~VNDR_CCRD_IND::VARCHAR~&~	~&~VNDR_MIN_ORD_AMT::DECIMAL~&~	~&~VNDR_URL_ADDR::VARCHAR~&~	~&~VNDR_SOLD_TO_NM::VARCHAR~&~	~&~VNDR_RMT_NM::VARCHAR~&~	~&~VNDR_RSTRC_IND::VARCHAR~&~	~&~VNDR_RSTRC_REAS_TXT::VARCHAR~&~	~&~VNDR_RSTRC_DT::TIMESTAMP~&~	~&~VNDR_RSTRC_PRSN_ID::VARCHAR~&~	~&~VNDR_SOLD_TO_GNRTD_ID::DECIMAL~&~	~&~VNDR_SOLD_TO_ASND_ID::DECIMAL~&~	~&~VNDR_1ST_LST_NM_IND::VARCHAR~&~	~&~COLLECT_TAX_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1007'~&~	~&~'0'~&~	~&~'423118FC-0C84-7DAC-796D-59E00A229418'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'FOREIGN VENDOR NO TAX NUMBER'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~'20D15'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1008'~&~	~&~'0'~&~	~&~'215DAF14-BB56-9800-10DC-9371EFABB15F'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'SMITH, SALLY'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1009'~&~	~&~'0'~&~	~&~'4B37D9AA-9DB9-82F8-00DD-27D187F8FA48'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'FOREIGN VENDOR WITH TAX NUMBER'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1010'~&~	~&~'0'~&~	~&~'D927E612-A6CD-5482-003A-611B6628C7BC'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'BASIC VENDOR ESTATE/TRUST'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1010'~&~	~&~'1'~&~	~&~'D19CB8D7-889D-295E-A10E-F173EC45FB04'~&~	~&~'1'~&~	~&~'N'~&~	~&~'DIVISION 1 OF PO BASIC'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~'20D10'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1010'~&~	~&~'2'~&~	~&~'802DFB16-35E6-57ED-0C39-65EB3FD768D2'~&~	~&~'1'~&~	~&~'N'~&~	~&~'DIVISION 2 OF PO BASIC'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'999999999'~&~	~&~'20D1T'~&~	~&~'DE'~&~	~&~'CL'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1010'~&~	~&~'3'~&~	~&~'A7643F27-2469-CF71-99DD-E0620CBBDAE6'~&~	~&~'1'~&~	~&~'N'~&~	~&~'B2B CONTRACT VENDOR'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1011'~&~	~&~'0'~&~	~&~'EB5FC2CE-488C-1780-252F-916E7FF3ADA2'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'FOREIGN VENDOR RESTRICTED'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Need to review what we are buying'~&~	~&~'1178596800000'~&~	~&~'6276904397'~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1012'~&~	~&~'0'~&~	~&~'C9DB706E-A1E9-A8F0-BE8F-3EF1F0DE516A'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'Direct Coffee'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Restricted due to use of coffee beans.'~&~	~&~'1178596800000'~&~	~&~'6276904397'~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1013'~&~	~&~'0'~&~	~&~'F29FF3AA-320E-8F26-3AB9-C7E92975208C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'JONES, JONATHAN'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1014'~&~	~&~'0'~&~	~&~'C245A5E6-D737-5A67-337D-5E097B1D85C4'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'SMITH, MARILYN'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1014'~&~	~&~'1'~&~	~&~'A027AC8A-F566-613E-C28B-12F5E4A80EAD'~&~	~&~'2'~&~	~&~'N'~&~	~&~'DIVISION 1 OF MARILYN SMITH'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~'10D11'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1014'~&~	~&~'2'~&~	~&~'E82E033F-5A67-F55C-5DCF-9759295A7685'~&~	~&~'2'~&~	~&~'N'~&~	~&~'SMITH, HOLLY'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~'00N30'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1014'~&~	~&~'3'~&~	~&~'91231B7E-3430-6E5D-9655-706DECF945BC'~&~	~&~'1'~&~	~&~'N'~&~	~&~'DIVISION 3 OF MARILYN SMITH'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~'00N33'~&~	~&~'DE'~&~	~&~'CL'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1015'~&~	~&~'0'~&~	~&~'04CAD2EF-CD67-1B27-A2C9-EAF0502A3E8A'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'EXPRESS SHIPPING'~&~	~&~'N'~&~	~&~'ME'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'review'~&~	~&~'1178596800000'~&~	~&~'6276904397'~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1016'~&~	~&~'0'~&~	~&~'E8645B46-5551-CE00-1A46-B929C566A000'~&~	~&~'3'~&~	~&~'Y'~&~	~&~'PHYSIK INSTRUMENT L.P.'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~'00N15'~&~	~&~'DE'~&~	~&~'CL'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1017'~&~	~&~'0'~&~	~&~'0B1F2232-AA65-D669-2758-31FB9D039F03'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'FOREIGN PARTNERSHIP -CCS'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~'00N30'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'testing restricted'~&~	~&~'1178596800000'~&~	~&~'6276904397'~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1018'~&~	~&~'0'~&~	~&~'B2CD3E46-F13F-4A2E-E775-5975B2C50CA8'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'SOLEPROPRIETORMULTIPLE, CASKEY'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~'00N30'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1018'~&~	~&~'1'~&~	~&~'94DC51F6-1F30-09C2-5A10-F348534BA121'~&~	~&~'2'~&~	~&~'N'~&~	~&~'SOLEPROPRIETOR CASKY FIRST DIV'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1018'~&~	~&~'2'~&~	~&~'9128933F-50DD-4C46-8B93-2EDD97C9DBB9'~&~	~&~'1'~&~	~&~'N'~&~	~&~'SOLE PROP CASKEY AUTO GLASS'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1019'~&~	~&~'0'~&~	~&~'96769D4E-649A-633C-101E-A1C10FF73BA6'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'INACTIVE PO VENDOR'~&~	~&~'N'~&~	~&~'OB'~&~	~&~NULL~&~	~&~'00N30'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Out of business'~&~	~&~'1178596800000'~&~	~&~'6276904397'~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1020'~&~	~&~'0'~&~	~&~'3656161F-B608-D039-F07B-8490049BFDCD'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'EASTMAN KODAK'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'002206183'~&~	~&~'00N30'~&~	~&~'OR'~&~	~&~'AL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1020'~&~	~&~'1'~&~	~&~'9FAC6250-9FAB-5DA7-6EDC-AD024296D8E5'~&~	~&~'1'~&~	~&~'N'~&~	~&~'EASTMAN COPIERS'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1020'~&~	~&~'2'~&~	~&~'878B782E-0B76-CF16-07AD-8317593CA4A7'~&~	~&~'1'~&~	~&~'N'~&~	~&~'EASTMAN DIGITAL'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1021'~&~	~&~'0'~&~	~&~'5CCF04BE-322C-4434-CAB6-A0B84917E25B'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'ROBBINS AUTO PARTS'~&~	~&~'N'~&~	~&~'OB'~&~	~&~NULL~&~	~&~'00N20'~&~	~&~'DE'~&~	~&~'PA'~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~'10.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'review for compliance'~&~	~&~'1178596800000'~&~	~&~'6276904397'~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
