HEADER[~&~	~&~VNDR_ADDR_GNRTD_ID::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~VNDR_HDR_GNRTD_ID::DECIMAL~&~	~&~VNDR_DTL_ASND_ID::DECIMAL~&~	~&~VNDR_ADDR_TYP_CD::VARCHAR~&~	~&~VNDR_LN1_ADDR::VARCHAR~&~	~&~VNDR_LN2_ADDR::VARCHAR~&~	~&~VNDR_CTY_NM::VARCHAR~&~	~&~VNDR_ST_CD::VARCHAR~&~	~&~VNDR_ZIP_CD::VARCHAR~&~	~&~VNDR_CNTRY_CD::VARCHAR~&~	~&~VNDR_ATTN_NM::VARCHAR~&~	~&~VNDR_ADDR_INTL_PROV_NM::VARCHAR~&~	~&~VNDR_ADDR_EMAIL_ADDR::VARCHAR~&~	~&~VNDR_B2B_URL_ADDR::VARCHAR~&~	~&~VNDR_FAX_NBR::VARCHAR~&~	~&~VNDR_DFLT_ADDR_IND::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1010'~&~	~&~'41B5D081-1753-797B-C824-6EA7E2ED010D'~&~	~&~'2'~&~	~&~'1007'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'DOWNING STREET'~&~	~&~NULL~&~	~&~'LONDON'~&~	~&~NULL~&~	~&~NULL~&~	~&~'UK'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1011'~&~	~&~'4EC632C7-85BF-183E-7456-B8BFD9720905'~&~	~&~'1'~&~	~&~'1008'~&~	~&~'0'~&~	~&~'RM'~&~	~&~'550 S HAMPTON DR'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47410'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1012'~&~	~&~'0CA5F0F5-EE60-65FE-05F7-80D91E461D2E'~&~	~&~'1'~&~	~&~'1008'~&~	~&~'0'~&~	~&~'RM'~&~	~&~'1000 SOUTH SHORE CT'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47407'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1013'~&~	~&~'5C3DEE98-3092-938A-BD43-B574DB6E8B69'~&~	~&~'2'~&~	~&~'1009'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'EIFFEL TOWER BLVD'~&~	~&~NULL~&~	~&~'PARIS'~&~	~&~NULL~&~	~&~'M3434J'~&~	~&~'FR'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1014'~&~	~&~'25FDA3D9-F497-C663-9A8B-536D59D0E6A2'~&~	~&~'2'~&~	~&~'1010'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'3388 SOUTH STREET'~&~	~&~NULL~&~	~&~'WASHINGTON'~&~	~&~'KY'~&~	~&~'44999'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'888-555-0000'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1015'~&~	~&~'301D5AC0-3CA9-BFC7-74A4-01F568095407'~&~	~&~'1'~&~	~&~'1010'~&~	~&~'1'~&~	~&~'PO'~&~	~&~'8844 ADDRESS'~&~	~&~NULL~&~	~&~'A CITY'~&~	~&~'WI'~&~	~&~'33448'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1016'~&~	~&~'0518C7E1-9B0A-C02B-E653-C4E83FF21CDA'~&~	~&~'1'~&~	~&~'1010'~&~	~&~'2'~&~	~&~'PO'~&~	~&~'9988 8TH STREET'~&~	~&~NULL~&~	~&~'A PLACE IN THE SUN'~&~	~&~'CA'~&~	~&~'99888'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'888-555-0000'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1017'~&~	~&~'241A5C27-104D-E6DA-A9E8-70B17D62ED03'~&~	~&~'2'~&~	~&~'1011'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'8876 S. STREET'~&~	~&~NULL~&~	~&~'A CITY'~&~	~&~'OH'~&~	~&~'99877'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1018'~&~	~&~'464D261D-9215-2806-686D-9CE565C2214D'~&~	~&~'2'~&~	~&~'1011'~&~	~&~'0'~&~	~&~'RM'~&~	~&~'9766 RUSSIA STREET'~&~	~&~NULL~&~	~&~'MOSCOW'~&~	~&~'--'~&~	~&~NULL~&~	~&~'RS'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1019'~&~	~&~'3E61BA2B-D03B-1A04-1249-5753E063D952'~&~	~&~'1'~&~	~&~'1012'~&~	~&~'0'~&~	~&~'RM'~&~	~&~'400 LAST STAND AVE'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47410'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1020'~&~	~&~'A18749ED-1E5F-8BB7-2460-F6E01EAC40A6'~&~	~&~'1'~&~	~&~'1013'~&~	~&~'0'~&~	~&~'RM'~&~	~&~'3030 W 10TH ST'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47408'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1021'~&~	~&~'78944849-2954-0C47-9BB9-293BFE9D51B7'~&~	~&~'2'~&~	~&~'1014'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'8899 AWAHL STREET'~&~	~&~NULL~&~	~&~'IDAHO CITY'~&~	~&~'ID'~&~	~&~'33999'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1022'~&~	~&~'6483769E-F2BD-44F0-5AC6-F29635159668'~&~	~&~'2'~&~	~&~'1014'~&~	~&~'0'~&~	~&~'QT'~&~	~&~'8800 BROOK STREET'~&~	~&~NULL~&~	~&~'WYOMING CITY'~&~	~&~'WY'~&~	~&~'33888'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1023'~&~	~&~'D113C19F-3F39-CF49-B9E7-918A61183CC4'~&~	~&~'2'~&~	~&~'1014'~&~	~&~'1'~&~	~&~'PO'~&~	~&~'9988 WEST STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IL'~&~	~&~'44349'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1024'~&~	~&~'5F4779CF-A736-D5DD-96A9-08EB07428901'~&~	~&~'2'~&~	~&~'1014'~&~	~&~'2'~&~	~&~'PO'~&~	~&~'3388 WEST STREET'~&~	~&~NULL~&~	~&~'PLACER'~&~	~&~'UT'~&~	~&~'22888'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1025'~&~	~&~'21C6A7D5-1F1E-2E04-3F0E-757B97DDA48E'~&~	~&~'2'~&~	~&~'1014'~&~	~&~'2'~&~	~&~'RM'~&~	~&~'8899 BLUES STREET'~&~	~&~NULL~&~	~&~'SUMNER PLACE'~&~	~&~'GA'~&~	~&~'99998'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1026'~&~	~&~'8EA5A13F-8395-9006-9A7A-5F8798B74636'~&~	~&~'2'~&~	~&~'1015'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'1250 STATE ROAD N'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47415'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1027'~&~	~&~'F3C65064-2E60-8320-99E4-F03268062475'~&~	~&~'1'~&~	~&~'1014'~&~	~&~'3'~&~	~&~'PO'~&~	~&~'9988 SOUTH STREET'~&~	~&~'PO BOX 34'~&~	~&~'PLEASANTVILLE'~&~	~&~'NC'~&~	~&~'33888'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1028'~&~	~&~'61DFA319-1BBE-8F8C-4874-2CEDB81BB2AD'~&~	~&~'3'~&~	~&~'1016'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'16 AUBURN ST'~&~	~&~NULL~&~	~&~'AUBURN'~&~	~&~'MA'~&~	~&~'01501'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'WWW.PI-USA.US'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1029'~&~	~&~'C138877D-54DD-6B44-0B56-0C9EF0B237DF'~&~	~&~'2'~&~	~&~'1017'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'PO 311'~&~	~&~NULL~&~	~&~'PORTERSVILLE'~&~	~&~NULL~&~	~&~'K1A-OG9'~&~	~&~'CA'~&~	~&~NULL~&~	~&~'OTTOWA'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1030'~&~	~&~'43C376BC-DE06-C162-0E90-F07D18DDBF47'~&~	~&~'2'~&~	~&~'1017'~&~	~&~'0'~&~	~&~'RM'~&~	~&~'123 PORTERS LANE'~&~	~&~NULL~&~	~&~'OTTOWA'~&~	~&~NULL~&~	~&~'K1A-OG9'~&~	~&~'CA'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1031'~&~	~&~'4556CD66-2E51-AC2F-3530-8941CD68F26C'~&~	~&~'2'~&~	~&~'1018'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'CASKEY'S GARAGE'~&~	~&~'10000 DRYDEN RD'~&~	~&~'FREEVILLE'~&~	~&~'NY'~&~	~&~'13068'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1032'~&~	~&~'E3EBEE50-754E-12DC-C041-7C5302B93351'~&~	~&~'2'~&~	~&~'1018'~&~	~&~'0'~&~	~&~'RM'~&~	~&~'PO BOX 4598'~&~	~&~NULL~&~	~&~'FREEVILLE'~&~	~&~'NY'~&~	~&~'13068'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1033'~&~	~&~'F3B52F47-B16B-283C-5267-247DDF7B5A22'~&~	~&~'2'~&~	~&~'1018'~&~	~&~'1'~&~	~&~'RM'~&~	~&~'12345 WEST MAIN'~&~	~&~NULL~&~	~&~'AUGUSTO'~&~	~&~'NY'~&~	~&~'14877'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1034'~&~	~&~'1DB0D80B-647B-F81D-AB6A-6D2707F0E1F9'~&~	~&~'2'~&~	~&~'1018'~&~	~&~'1'~&~	~&~'PO'~&~	~&~'12345 WEST MAIN'~&~	~&~NULL~&~	~&~'AUGUSTO'~&~	~&~'NY'~&~	~&~'14877'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1035'~&~	~&~'388E5BB2-A266-3C16-267E-1D691C53346D'~&~	~&~'2'~&~	~&~'1019'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'WEST POST STATION'~&~	~&~NULL~&~	~&~'LANSDALE'~&~	~&~'PA'~&~	~&~'19446'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1036'~&~	~&~'294DB0ED-9E64-DD24-463E-EB4D02774D0D'~&~	~&~'2'~&~	~&~'1020'~&~	~&~'0'~&~	~&~'RM'~&~	~&~'PO BOX 642079'~&~	~&~NULL~&~	~&~'PITTSBURGH'~&~	~&~'PA'~&~	~&~'15264-2079'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'555-555-5555'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1037'~&~	~&~'DBB19857-37CC-385A-5325-1F90E31074E7'~&~	~&~'2'~&~	~&~'1020'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'1600 LEXINGTON AVE DOOR 34'~&~	~&~NULL~&~	~&~'ROCHESTER'~&~	~&~'NY'~&~	~&~'14650-0000'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1038'~&~	~&~'B019ED4A-A7F7-21B8-311B-6D14BBAA0E76'~&~	~&~'2'~&~	~&~'1021'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'999 WASHBURN ST'~&~	~&~NULL~&~	~&~'DOVER'~&~	~&~'DE'~&~	~&~'03820'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1039'~&~	~&~'C25C6064-5EAA-28DE-3110-A383044C754D'~&~	~&~'1'~&~	~&~'1020'~&~	~&~'1'~&~	~&~'PO'~&~	~&~'PO ADDRESS'~&~	~&~NULL~&~	~&~'ROCHESTER'~&~	~&~'NY'~&~	~&~'14616'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1040'~&~	~&~'1CCF838E-7818-D524-5895-4C38E55C3B46'~&~	~&~'1'~&~	~&~'1020'~&~	~&~'2'~&~	~&~'PO'~&~	~&~'4520 MAIN ST'~&~	~&~NULL~&~	~&~'KANSAS CITY'~&~	~&~'MO'~&~	~&~'64111'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1041'~&~	~&~'EA30E70C-3BC5-71BB-F02F-218C27F02816'~&~	~&~'2'~&~	~&~'1001'~&~	~&~'1'~&~	~&~'PO'~&~	~&~'LARGE ANIMAL FACILITY'~&~	~&~NULL~&~	~&~'ITHACA'~&~	~&~'NY'~&~	~&~'14850'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1042'~&~	~&~'23771E73-9D07-7544-F2C3-DFC9A1EE59CE'~&~	~&~'2'~&~	~&~'1001'~&~	~&~'2'~&~	~&~'PO'~&~	~&~'JOHNSON ART MUSEUM'~&~	~&~NULL~&~	~&~'ITHACA'~&~	~&~'NY'~&~	~&~'14853'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1043'~&~	~&~'FDC74281-F1C7-D291-4C7A-DCC195AFF3F6'~&~	~&~'1'~&~	~&~'1018'~&~	~&~'2'~&~	~&~'PO'~&~	~&~'EAST GENEO LANE'~&~	~&~NULL~&~	~&~'ITHACA'~&~	~&~'NY'~&~	~&~'14850'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2003'~&~	~&~'4DD60BDC-3CB9-F2ED-4150-5CD9E65CB0B1'~&~	~&~'7'~&~	~&~'2003'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'889 HAMMER RD.'~&~	~&~NULL~&~	~&~'CLEVELAND'~&~	~&~'OH'~&~	~&~'41555-5688'~&~	~&~'US'~&~	~&~'BOB'~&~	~&~NULL~&~	~&~NULL~&~	~&~'BOBTHEBUILDER.COM'~&~	~&~'517-345-5676'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2004'~&~	~&~'CCFF5133-452A-9016-4246-4843E405EBE2'~&~	~&~'7'~&~	~&~'2003'~&~	~&~'0'~&~	~&~'RT'~&~	~&~'789 TRACK PKWY'~&~	~&~NULL~&~	~&~'AKRON'~&~	~&~'OH'~&~	~&~'41522-5688'~&~	~&~'US'~&~	~&~'ROB'~&~	~&~NULL~&~	~&~NULL~&~	~&~'BOBTHEBUILDER.COM'~&~	~&~'517-369-2563'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'DA73C9AC-3DB8-B0FF-B367-0255B0455248'~&~	~&~'3'~&~	~&~'2005'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'PO BOX 121212'~&~	~&~NULL~&~	~&~'BRAZIL'~&~	~&~'IN'~&~	~&~'47834'~&~	~&~'US'~&~	~&~'MS. SMITH'~&~	~&~NULL~&~	~&~NULL~&~	~&~'WWW.ACCOUNTING.COM'~&~	~&~'812-555-1212'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BE64B0CE-FD18-0876-F92F-CD2F1B2A31EA'~&~	~&~'3'~&~	~&~'2005'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'5959 STATE STREET'~&~	~&~NULL~&~	~&~'BRAZIL'~&~	~&~'IN'~&~	~&~'47834'~&~	~&~'US'~&~	~&~'MR. SMITH'~&~	~&~NULL~&~	~&~NULL~&~	~&~'WWW.ACCOUNTCONSULT.COM'~&~	~&~'812-555-2222'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'4AA98E1B-8B54-8C5E-FE20-7B1F8C3EC8EA'~&~	~&~'3'~&~	~&~'2005'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'1212 FAIR ST'~&~	~&~NULL~&~	~&~'LENNOX'~&~	~&~'SD'~&~	~&~'57037'~&~	~&~'US'~&~	~&~'THE SMITHS'~&~	~&~NULL~&~	~&~NULL~&~	~&~'WWW.ACCOUNTING2.COM'~&~	~&~'812-555-1111'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
