HEADER[~&~	~&~SUB_FUND_GRP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FUND_GRP_CD::VARCHAR~&~	~&~SUB_FUND_GRP_DESC::VARCHAR~&~	~&~SUBFUNDGRP_ACTV_CD::VARCHAR~&~	~&~SUB_FUNDGRP_TYP_CD::VARCHAR~&~	~&~FIN_REPORT_SORT_CD::VARCHAR~&~	~&~SUB_FUND_GRP_WAGE_IND::VARCHAR~&~	~&~FND_GRP_BA_RSTR_LVL_CD::VARCHAR~&~	~&~ACCT_RSTRC_STAT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'COMMEH'~&~	~&~'015D880780816C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMEJ'~&~	~&~'015D880780826C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMEK'~&~	~&~'015D880780836C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMEM'~&~	~&~'015D880780846C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMEN'~&~	~&~'015D880780856C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMEP'~&~	~&~'015D880780866C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMEQ'~&~	~&~'015D880780876C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMER'~&~	~&~'015D880780886C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMEX'~&~	~&~'015D880780896C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'N'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXA'~&~	~&~'015D8807808A6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXB'~&~	~&~'015D8807808B6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXC'~&~	~&~'015D8807808C6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXD'~&~	~&~'015D8807808D6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXE'~&~	~&~'015D8807808E6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXF'~&~	~&~'015D8807808F6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXG'~&~	~&~'015D880780906C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXH'~&~	~&~'015D880780916C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXJ'~&~	~&~'015D880780926C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXK'~&~	~&~'015D880780936C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXM'~&~	~&~'015D880780946C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXN'~&~	~&~'015D880780956C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXP'~&~	~&~'015D880780966C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXQ'~&~	~&~'015D880780976C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMXR'~&~	~&~'015D880780986C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'DFRES'~&~	~&~'015D8807809A6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'DS'~&~	~&~'FACULTY RESEARCH'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'05'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERB'~&~	~&~'015D880780A16C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERC'~&~	~&~'015D880780A26C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERD'~&~	~&~'015D880780A36C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERE'~&~	~&~'015D880780A46C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERF'~&~	~&~'015D880780A56C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERG'~&~	~&~'015D880780A66C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERH'~&~	~&~'015D880780A76C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERJ'~&~	~&~'015D880780A86C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERK'~&~	~&~'015D880780A96C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERM'~&~	~&~'015D880780AA6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERN'~&~	~&~'015D880780AB6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERP'~&~	~&~'015D880780AC6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERQ'~&~	~&~'015D880780AD6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERR'~&~	~&~'015D880780AE6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEDERX'~&~	~&~'015D880780AF6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FEDERAL'~&~	~&~'N'~&~	~&~'N'~&~	~&~'14'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FEMP'~&~	~&~'015D880780B06C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'RF'~&~	~&~'ENDOWMENT MATCH PROGRAMS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'11'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FFEND'~&~	~&~'015D880780B16C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'EN'~&~	~&~'FUNDS FUNCTIONING AS ENDOWMENTS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'28'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDB'~&~	~&~'015D880780B36C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDC'~&~	~&~'015D880780B46C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDD'~&~	~&~'015D880780B56C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDE'~&~	~&~'015D880780B66C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDF'~&~	~&~'015D880780B76C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDG'~&~	~&~'015D880780B86C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDH'~&~	~&~'015D880780B96C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDJ'~&~	~&~'015D880780BA6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDK'~&~	~&~'015D880780BB6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDM'~&~	~&~'015D880780BC6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDN'~&~	~&~'015D880780BD6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDP'~&~	~&~'015D880780BE6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDQ'~&~	~&~'015D880780BF6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDR'~&~	~&~'015D880780C06C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'FOUNDX'~&~	~&~'015D880780C16C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'FOUNDATIONS'~&~	~&~'N'~&~	~&~'N'~&~	~&~'17'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUB'~&~	~&~'015D880780C46C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUC'~&~	~&~'015D880780C56C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUD'~&~	~&~'015D880780C66C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUE'~&~	~&~'015D880780C76C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUF'~&~	~&~'015D880780C86C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUG'~&~	~&~'015D880780C96C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUH'~&~	~&~'015D880780CA6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUJ'~&~	~&~'015D880780CB6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUK'~&~	~&~'015D880780CC6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUM'~&~	~&~'015D880780CD6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUN'~&~	~&~'015D880780CE6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUP'~&~	~&~'015D880780CF6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUQ'~&~	~&~'015D880780D06C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'HIEDUR'~&~	~&~'015D880780D16C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'HIGHER EDUCATION'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
