HEADER[~&~	~&~RC_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~RC_NM::VARCHAR~&~	~&~RC_SHRT_NM::VARCHAR~&~	~&~RC_ACTIVE_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'77'~&~	~&~'014A17B043BF9D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'INCOME'~&~	~&~'INCOME'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'78'~&~	~&~'014A17B043C09D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'ADMINISTRATIVE AFFAIRS'~&~	~&~'ADMIN AFF'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'79'~&~	~&~'014A17B043C19D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'EXTERNAL AFFAIRS'~&~	~&~'EXTERNAL AFF'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'80'~&~	~&~'014A17B043C29D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'BUDGET & FISCAL AFFAIRS'~&~	~&~'BUDGET'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81'~&~	~&~'014A17B043C39D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'BUDGET/STUDENT SUPPORT'~&~	~&~'BUDGET/STU'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'82'~&~	~&~'014A17B043C49D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'PHYSICAL PLANT'~&~	~&~'PHYS PLANT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'83'~&~	~&~'014A17B043C59D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'ENROLLMENT SERVICES'~&~	~&~'ENROLL SERV'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'84'~&~	~&~'014A17B043C69D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'INTERCAMPUS TRANSFERS'~&~	~&~'INTRCMPSXFRE'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'85'~&~	~&~'014A17B043C79D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'FACILITIES DEBT SERVICE'~&~	~&~'DEBT SERV'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'86'~&~	~&~'014A17B043C89D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'OFFICE OF ACADEMIC SUPPORT & DIVERSITY'~&~	~&~'ACAD SUPPORT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'87'~&~	~&~'014A17B043C99D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'HOSPITALS'~&~	~&~'HOSPITALS'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'88'~&~	~&~'014A17B043CA9D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'PRESIDENT'S OFFICE'~&~	~&~'PRESIDENT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'89'~&~	~&~'014A17B043CB9D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'OTHER UNIVERSITY ADMINISTRATION ACCOUNTS'~&~	~&~'OTHER UA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'90'~&~	~&~'014A17B043CC9D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'VP FOR ACADEMIC AFFAIRS'~&~	~&~'ACAD AFFAIRS'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'92'~&~	~&~'014A17B043CD9D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'VP AND CHIEF FINANCIAL OFFICER'~&~	~&~'VP & CFO'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'94'~&~	~&~'014A17B043CE9D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'VP FOR INFORMATION TECHNOLOGY'~&~	~&~'VPIT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'96'~&~	~&~'014A17B043CF9D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'VP FOR UNIV RELATIONS&CORP PARTNERSHIPS'~&~	~&~'U REL/CORP'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'97'~&~	~&~'014A17B043D59D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'VP FOR GOVERNMENT RELATIONS'~&~	~&~'GOVT RELTNS'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'98'~&~	~&~'014A17B043D09D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'VP AND CHIEF ADMINISTRATIVE OFFICER'~&~	~&~'ADMIN'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'99'~&~	~&~'014A17B043D19D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'SYSTEM CONTINGENCIES'~&~	~&~'CONTING'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AG'~&~	~&~'014A17B043D29D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'RC AGGREGATION'~&~	~&~'AGGREGATE'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'NO'~&~	~&~'014A17B043D39D5EE043814FD8819D5E'~&~	~&~'1'~&~	~&~'NO RESPONSIBILITY CENTER'~&~	~&~'NO RC'~&~	~&~'Y'~&~	~&~]RECORD
