HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~SUB_ACCT_NBR::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~FIN_SUB_OBJ_CD::VARCHAR~&~	~&~FIN_BALANCE_TYP_CD::VARCHAR~&~	~&~FIN_OBJ_TYP_CD::VARCHAR~&~	~&~POSITION_NBR::VARCHAR~&~	~&~EMPLID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACLN_ANNL_BAL_AMT::DECIMAL~&~	~&~FIN_BEG_BAL_LN_AMT::DECIMAL~&~	~&~CONTR_GR_BB_AC_AMT::DECIMAL~&~	~&~MO1_ACCT_LN_AMT::DECIMAL~&~	~&~MO2_ACCT_LN_AMT::DECIMAL~&~	~&~MO3_ACCT_LN_AMT::DECIMAL~&~	~&~MO4_ACCT_LN_AMT::DECIMAL~&~	~&~MO5_ACCT_LN_AMT::DECIMAL~&~	~&~MO6_ACCT_LN_AMT::DECIMAL~&~	~&~MO7_ACCT_LN_AMT::DECIMAL~&~	~&~MO8_ACCT_LN_AMT::DECIMAL~&~	~&~MO9_ACCT_LN_AMT::DECIMAL~&~	~&~MO10_ACCT_LN_AMT::DECIMAL~&~	~&~MO11_ACCT_LN_AMT::DECIMAL~&~	~&~MO12_ACCT_LN_AMT::DECIMAL~&~	~&~MO13_ACCT_LN_AMT::DECIMAL~&~	~&~TIMESTAMP::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'IE'~&~	~&~'EX'~&~	~&~'00009529'~&~	~&~'0000000082'~&~	~&~'531CC9D0E20C6831E0404F8189D83280'~&~	~&~'1'~&~	~&~'6987.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'38428.50'~&~	~&~'-3493.50'~&~	~&~'-3493.50'~&~	~&~'-3493.50'~&~	~&~'-3493.50'~&~	~&~'-3493.50'~&~	~&~'-3493.50'~&~	~&~'-3493.50'~&~	~&~'-3493.50'~&~	~&~'-3493.50'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'IE'~&~	~&~'EX'~&~	~&~'00014789'~&~	~&~'0000026435'~&~	~&~'531CC9D0E20D6831E0404F8189D83280'~&~	~&~'1'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'49327.41'~&~	~&~'-4484.31'~&~	~&~'-14879.76'~&~	~&~'-3329.26'~&~	~&~'-3329.26'~&~	~&~'-3329.26'~&~	~&~'-3329.26'~&~	~&~'-16646.30'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'IE'~&~	~&~'EX'~&~	~&~'00015213'~&~	~&~'0000027167'~&~	~&~'531CC9D0E20E6831E0404F8189D83280'~&~	~&~'1'~&~	~&~'5433.78'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'29885.79'~&~	~&~'-2716.89'~&~	~&~'-2716.89'~&~	~&~'-2716.89'~&~	~&~'-2716.89'~&~	~&~'-2716.89'~&~	~&~'-2716.89'~&~	~&~'-2716.89'~&~	~&~'-2716.89'~&~	~&~'-2716.89'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'IE'~&~	~&~'EX'~&~	~&~'00017659'~&~	~&~'0000072684'~&~	~&~'531CC9D0E20F6831E0404F8189D83280'~&~	~&~'1'~&~	~&~'3240.16'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'17820.88'~&~	~&~'-1620.08'~&~	~&~'-1620.08'~&~	~&~'-1620.08'~&~	~&~'-1620.08'~&~	~&~'-1620.08'~&~	~&~'-1620.08'~&~	~&~'-1620.08'~&~	~&~'-1620.08'~&~	~&~'-1620.08'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'IE'~&~	~&~'EX'~&~	~&~'00019196'~&~	~&~'0000026435'~&~	~&~'531CC9D0E2126831E0404F8189D83280'~&~	~&~'1'~&~	~&~'7066.86'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'14133.72'~&~	~&~'-3533.43'~&~	~&~'-3533.43'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'IE'~&~	~&~'EX'~&~	~&~'00019196'~&~	~&~'0000092426'~&~	~&~'531CC9D0E2106831E0404F8189D83280'~&~	~&~'1'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'56167.65'~&~	~&~'-5106.15'~&~	~&~'-5106.15'~&~	~&~'-5106.15'~&~	~&~'-5106.15'~&~	~&~'-5106.15'~&~	~&~'-5106.15'~&~	~&~'-25530.75'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'IE'~&~	~&~'EX'~&~	~&~'00022120'~&~	~&~'0000223771'~&~	~&~'531CC9D0E2116831E0404F8189D83280'~&~	~&~'1'~&~	~&~'6142.20'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'33782.10'~&~	~&~'-3071.10'~&~	~&~'-3071.10'~&~	~&~'-3071.10'~&~	~&~'-3071.10'~&~	~&~'-3071.10'~&~	~&~'-3071.10'~&~	~&~'-3071.10'~&~	~&~'-3071.10'~&~	~&~'-3071.10'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'IE'~&~	~&~'EX'~&~	~&~'00030851'~&~	~&~'0000092426'~&~	~&~'531CC9D0E2136831E0404F8189D83280'~&~	~&~'1'~&~	~&~'10212.30'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'20424.60'~&~	~&~'-5106.15'~&~	~&~'-5106.15'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00008115'~&~	~&~'0000059227'~&~	~&~'531CC9D0E2146831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-738.40'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'103.75'~&~	~&~'229.69'~&~	~&~'76.56'~&~	~&~'153.11'~&~	~&~'153.13'~&~	~&~'-689.04'~&~	~&~'229.66'~&~	~&~'0.02'~&~	~&~'153.12'~&~	~&~'76.55'~&~	~&~'-1224.95'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00008993'~&~	~&~'0000237963'~&~	~&~'531CC9D0E2156831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-1000.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'134.30'~&~	~&~'309.36'~&~	~&~'103.13'~&~	~&~'206.23'~&~	~&~'206.25'~&~	~&~'-928.07'~&~	~&~'309.33'~&~	~&~'0.01'~&~	~&~'206.25'~&~	~&~'103.11'~&~	~&~'-1649.90'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00009186'~&~	~&~'0000105978'~&~	~&~'531CC9D0E2166831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-927.20'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'128.80'~&~	~&~'288.00'~&~	~&~'96.00'~&~	~&~'192.00'~&~	~&~'192.00'~&~	~&~'-864.00'~&~	~&~'288.00'~&~	~&~'0.00'~&~	~&~'192.00'~&~	~&~'96.00'~&~	~&~'-1536.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00012417'~&~	~&~'0000000787'~&~	~&~'531CC9D0E2176831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-1306.40'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'-1306.40'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00012431'~&~	~&~'0000226165'~&~	~&~'531CC9D0E2186831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-1183.68'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'299.12'~&~	~&~'404.40'~&~	~&~'134.80'~&~	~&~'269.60'~&~	~&~'269.60'~&~	~&~'-1213.20'~&~	~&~'404.40'~&~	~&~'0.00'~&~	~&~'269.60'~&~	~&~'134.79'~&~	~&~'-2156.79'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00014644'~&~	~&~'0000221692'~&~	~&~'531CC9D0E2196831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-833.60'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'106.22'~&~	~&~'256.33'~&~	~&~'85.45'~&~	~&~'170.86'~&~	~&~'170.88'~&~	~&~'-768.94'~&~	~&~'256.31'~&~	~&~'-0.01'~&~	~&~'170.90'~&~	~&~'85.44'~&~	~&~'-1367.04'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00015209'~&~	~&~'0000026869'~&~	~&~'531CC9D0E21A6831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-752.80'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'106.07'~&~	~&~'16.44'~&~	~&~'295.89'~&~	~&~'69.38'~&~	~&~'242.93'~&~	~&~'-1483.51'~&~	~&~'242.20'~&~	~&~'-242.20'~&~	~&~'604.20'~&~	~&~'-429.61'~&~	~&~'-174.59'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00015281'~&~	~&~'0000229293'~&~	~&~'531CC9D0E21B6831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-928.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'120.94'~&~	~&~'286.09'~&~	~&~'95.37'~&~	~&~'190.69'~&~	~&~'173.98'~&~	~&~'-841.47'~&~	~&~'286.06'~&~	~&~'0.00'~&~	~&~'190.74'~&~	~&~'95.34'~&~	~&~'-1525.74'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00019261'~&~	~&~'0000243650'~&~	~&~'531CC9D0E21C6831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-279.20'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'34.72'~&~	~&~'85.64'~&~	~&~'28.54'~&~	~&~'57.02'~&~	~&~'57.12'~&~	~&~'-256.84'~&~	~&~'85.61'~&~	~&~'-0.02'~&~	~&~'57.12'~&~	~&~'28.52'~&~	~&~'-456.63'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00019760'~&~	~&~'0000243128'~&~	~&~'531CC9D0E21D6831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-275.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'34.08'~&~	~&~'84.29'~&~	~&~'28.13'~&~	~&~'56.16'~&~	~&~'56.23'~&~	~&~'-252.88'~&~	~&~'84.27'~&~	~&~'0.01'~&~	~&~'56.21'~&~	~&~'28.08'~&~	~&~'-449.58'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00019967'~&~	~&~'0000236216'~&~	~&~'531CC9D0E21E6831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-928.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'128.85'~&~	~&~'288.25'~&~	~&~'96.10'~&~	~&~'120.25'~&~	~&~'143.11'~&~	~&~'-969.43'~&~	~&~'404.75'~&~	~&~'109.14'~&~	~&~'192.17'~&~	~&~'-157.38'~&~	~&~'-1283.81'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00019971'~&~	~&~'0000042074'~&~	~&~'531CC9D0E21F6831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-749.98'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'155.52'~&~	~&~'246.96'~&~	~&~'82.32'~&~	~&~'-483.65'~&~	~&~'812.93'~&~	~&~'-740.86'~&~	~&~'-48.70'~&~	~&~'295.63'~&~	~&~'164.66'~&~	~&~'-137.97'~&~	~&~'-1096.82'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00026148'~&~	~&~'0000241843'~&~	~&~'531CC9D0E2206831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-928.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'120.93'~&~	~&~'286.11'~&~	~&~'95.36'~&~	~&~'190.70'~&~	~&~'190.71'~&~	~&~'-1016.75'~&~	~&~'444.59'~&~	~&~'0.02'~&~	~&~'190.71'~&~	~&~'-333.19'~&~	~&~'-1097.19'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'ES'~&~	~&~'00026159'~&~	~&~'0000089297'~&~	~&~'531CC9D0E2216831E0404F8189D83280'~&~	~&~'1'~&~	~&~'-928.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'120.94'~&~	~&~'286.08'~&~	~&~'95.38'~&~	~&~'190.71'~&~	~&~'190.72'~&~	~&~'-858.23'~&~	~&~'286.06'~&~	~&~'0.00'~&~	~&~'190.74'~&~	~&~'95.35'~&~	~&~'-1525.75'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
