HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~SUB_ACCT_NBR::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~FIN_SUB_OBJ_CD::VARCHAR~&~	~&~POSITION_NBR::VARCHAR~&~	~&~EMPLID::VARCHAR~&~	~&~POS_CSF_CREATE_TM::TIMESTAMP~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~POS_CSF_DELETE_CD::VARCHAR~&~	~&~POS_CSF_AMT::DECIMAL~&~	~&~POS_CSF_FTE_QTY::DECIMAL~&~	~&~POS_CSF_TM_PCT::DECIMAL~&~	~&~POS_CSF_FNDSTAT_CD::VARCHAR~&~	~&~EMPL_RCD::DECIMAL~&~	~&~ERNCD::VARCHAR~&~	~&~ADDL_SEQ::DECIMAL~&~	~&~EFFDT::TIMESTAMP~&~	~&~EFFSEQ::DECIMAL~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00009186'~&~	~&~'0000000782'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BD9E008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'24960.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00012417'~&~	~&~'0000000787'~&~	~&~'1165381200000'~&~	~&~'3089F9B6BF3D008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'34819.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'V'~&~	~&~'0'~&~	~&~'BDG'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00012431'~&~	~&~'0000001325'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BE99008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'35048.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00014644'~&~	~&~'0000001317'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEA0008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'22214.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00015209'~&~	~&~'0000000337'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEA4008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'20301.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00015281'~&~	~&~'0000001337'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEA7008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'24794.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00019261'~&~	~&~'0000001398'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEB5008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'7420.25'~&~	~&~'0.250000'~&~	~&~'25.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00019760'~&~	~&~'0000001394'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEB8008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'7306.00'~&~	~&~'0.250000'~&~	~&~'25.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00019967'~&~	~&~'0000001361'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEB9008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'24981.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00019971'~&~	~&~'0000000429'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEBA008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'21403.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00026148'~&~	~&~'0000001387'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BECE008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'24794.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00026159'~&~	~&~'0000000667'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BECF008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'24794.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'00015213'~&~	~&~'0000000338'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEA5008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'31944.31'~&~	~&~'0.494900'~&~	~&~'49.490000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'REG'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2480'~&~	~&~'---'~&~	~&~'00008311'~&~	~&~'0000000569'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BDA1008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'46783.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RMO'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00005350'~&~	~&~'0000001295'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BDFC008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'28974.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00008189'~&~	~&~'0000001368'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BDA2008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'19947.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00009323'~&~	~&~'0000001324'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BD9C008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'28974.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00009324'~&~	~&~'0000001350'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BD9D008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'28974.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00012774'~&~	~&~'0000001323'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BE9A008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'24981.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00014986'~&~	~&~'0000001421'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEA2008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'28974.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00017313'~&~	~&~'0000001359'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEAE008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'28974.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00018785'~&~	~&~'0000000858'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEB2008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'28974.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00019261'~&~	~&~'0000001398'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEB4008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'22260.75'~&~	~&~'0.750000'~&~	~&~'75.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00019760'~&~	~&~'0000001394'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEB7008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'21918.00'~&~	~&~'0.750000'~&~	~&~'75.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00023943'~&~	~&~'0000000417'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BEC9008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'28974.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00023944'~&~	~&~'0000001314'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BECA008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'28974.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'2000'~&~	~&~'---'~&~	~&~'00000144'~&~	~&~'0000001230'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BE25008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'106384.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGA'~&~	~&~'0'~&~	~&~'1154404800000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'2000'~&~	~&~'---'~&~	~&~'00000255'~&~	~&~'0000001418'~&~	~&~'1177473600000'~&~	~&~'3089F9B6BF34008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'157500.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGA'~&~	~&~'0'~&~	~&~'1180670400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'2000'~&~	~&~'---'~&~	~&~'00001006'~&~	~&~'0000000308'~&~	~&~'1154404800000'~&~	~&~'3089F9B6BF01008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'13924.22'~&~	~&~'0.272000'~&~	~&~'27.200000'~&~	~&~'-'~&~	~&~'4'~&~	~&~'RGA'~&~	~&~'0'~&~	~&~'1154404800000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'2000'~&~	~&~'---'~&~	~&~'00001012'~&~	~&~'0000001448'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BE19008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'23476.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGA'~&~	~&~'0'~&~	~&~'1154404800000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'2000'~&~	~&~'---'~&~	~&~'00001014'~&~	~&~'0000001558'~&~	~&~'1169182800000'~&~	~&~'3089F9B6BEFD008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'13988.70'~&~	~&~'0.330000'~&~	~&~'33.000000'~&~	~&~'-'~&~	~&~'4'~&~	~&~'RGA'~&~	~&~'0'~&~	~&~'1157083200000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'2000'~&~	~&~'---'~&~	~&~'00004464'~&~	~&~'0000001495'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BE03008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'114711.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGA'~&~	~&~'0'~&~	~&~'1154404800000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'2000'~&~	~&~'---'~&~	~&~'00004674'~&~	~&~'0000000287'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BE02008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'56746.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGA'~&~	~&~'0'~&~	~&~'1154404800000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'2000'~&~	~&~'---'~&~	~&~'00004682'~&~	~&~'0000000484'~&~	~&~'1151812800000'~&~	~&~'3089F9B6BE01008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'103294.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGA'~&~	~&~'0'~&~	~&~'1151726400000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'2000'~&~	~&~'---'~&~	~&~'00005047'~&~	~&~'0000001488'~&~	~&~'1175659200000'~&~	~&~'3089F9B6BF1D008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'65000.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGA'~&~	~&~'0'~&~	~&~'1180670400000'~&~	~&~'0'~&~	~&~]RECORD
