HEADER[~&~	~&~CPTLAST_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CPTLAST_TYP_DESC::VARCHAR~&~	~&~CPTLAST_DEPRLF_LMT::DECIMAL~&~	~&~CPTLAST_MOVING_CD::VARCHAR~&~	~&~CPTLAST_RQDBLDG_CD::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'07467'~&~	~&~'44F39C473072409CE043814FD881409C'~&~	~&~'1'~&~	~&~'THERMOMETER, ELECTRONIC (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07468'~&~	~&~'44F39C473068409CE043814FD881409C'~&~	~&~'1'~&~	~&~'PROCESSOR, TISSUE (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07472'~&~	~&~'44F39C473074409CE043814FD881409C'~&~	~&~'1'~&~	~&~'TUBE TESTER (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07477'~&~	~&~'44F39C473069409CE043814FD881409C'~&~	~&~'1'~&~	~&~'PURIFIER OR SOFTENER, WATER (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07478'~&~	~&~'44F39C4730BE409CE043814FD881409C'~&~	~&~'1'~&~	~&~'X RAY DEVELOPER (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07482'~&~	~&~'44F39C473076409CE043814FD881409C'~&~	~&~'1'~&~	~&~'X RAY UNIT, ALL (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07489'~&~	~&~'44F39C473051409CE043814FD881409C'~&~	~&~'1'~&~	~&~'GENERATOR, INDUSTRIAL (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07515'~&~	~&~'44F39C4730C1409CE043814FD881409C'~&~	~&~'1'~&~	~&~'DISPENSER, ALL (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07658'~&~	~&~'44F39C4730C3409CE043814FD881409C'~&~	~&~'1'~&~	~&~'DRYING OVEN, PAINT SHOP (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07660'~&~	~&~'44F39C47305B409CE043814FD881409C'~&~	~&~'1'~&~	~&~'MACHINE, FLOOR, ALL INDUS (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07677'~&~	~&~'44F39C4730B3409CE043814FD881409C'~&~	~&~'1'~&~	~&~'CLEANER, VACUUM (FY 07 AHA REVIEW)'~&~	~&~'8'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07679'~&~	~&~'44F39C4730AB409CE043814FD881409C'~&~	~&~'1'~&~	~&~'AIR VENTILATING SYSTEMS (FY 07 AHA REVIEW)'~&~	~&~'20'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07681'~&~	~&~'44F39C47305C409CE043814FD881409C'~&~	~&~'1'~&~	~&~'MILLING MACHINE (FY 07 AHA REVIEW)'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07686'~&~	~&~'44F39C4730D0409CE043814FD881409C'~&~	~&~'1'~&~	~&~'WATER HEATER, COMMERCIAL (FY 07 AHA)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07708'~&~	~&~'44F39C4730CE409CE043814FD881409C'~&~	~&~'1'~&~	~&~'STORAGE TRAILERS AND TRAILER-MOUNTED CONTAINERS  IRS FY 07'~&~	~&~'6'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07709'~&~	~&~'44F39C4730CF409CE043814FD881409C'~&~	~&~'1'~&~	~&~'SIGNAGE, MOVEABLE (FY 07 AHA)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07711'~&~	~&~'44F39C4730AA409CE043814FD881409C'~&~	~&~'1'~&~	~&~'AIR PLANE (FY 07 AHA REVIEW)'~&~	~&~'6'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'100'~&~	~&~'44F39C472F12409CE043814FD881409C'~&~	~&~'1'~&~	~&~'EQUIPMENT, GENERAL OFFICE'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1000'~&~	~&~'44F39C472F13409CE043814FD881409C'~&~	~&~'1'~&~	~&~'CONTROL ASSET (GEC)'~&~	~&~'0'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10000'~&~	~&~'44F39C472F14409CE043814FD881409C'~&~	~&~'1'~&~	~&~'LAND'~&~	~&~'0'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10001'~&~	~&~'44F39C473083409CE043814FD881409C'~&~	~&~'1'~&~	~&~'LI YARD/FENCING/BARRIERS'~&~	~&~'10'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10002'~&~	~&~'44F39C473084409CE043814FD881409C'~&~	~&~'1'~&~	~&~'LI LANDSCAPING IMPROVEMENTS'~&~	~&~'20'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10003'~&~	~&~'44F39C473085409CE043814FD881409C'~&~	~&~'1'~&~	~&~'LI SEPTIC SYSTEMS'~&~	~&~'40'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10004'~&~	~&~'44F39C473080409CE043814FD881409C'~&~	~&~'1'~&~	~&~'LI SEAL & STRIPE PARKING LOTS'~&~	~&~'5'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'101'~&~	~&~'44F39C472F15409CE043814FD881409C'~&~	~&~'1'~&~	~&~'BENCH, METAL OR WOOD'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'103'~&~	~&~'44F39C472F16409CE043814FD881409C'~&~	~&~'1'~&~	~&~'BOOKCASE, METAL/WOOD, ALL'~&~	~&~'20'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'104'~&~	~&~'44F39C472F17409CE043814FD881409C'~&~	~&~'1'~&~	~&~'CABINET, METAL OR WOOD/FILE'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'105'~&~	~&~'44F39C472F18409CE043814FD881409C'~&~	~&~'1'~&~	~&~'SOFA'~&~	~&~'12'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'107'~&~	~&~'44F39C472F19409CE043814FD881409C'~&~	~&~'1'~&~	~&~'CHAIR, METAL OR WOOD, ALL'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'108'~&~	~&~'44F39C472F1A409CE043814FD881409C'~&~	~&~'1'~&~	~&~'INACTIVE FY 07 AHA REVIEW DESK, METAL OR WOOD, ALL'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'109'~&~	~&~'44F39C472F1B409CE043814FD881409C'~&~	~&~'1'~&~	~&~'FURNISHINGS, LIBRARY'~&~	~&~'20'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'110'~&~	~&~'44F39C472F1C409CE043814FD881409C'~&~	~&~'1'~&~	~&~'MISC. FURNISHINGS'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111'~&~	~&~'44F39C472F1D409CE043814FD881409C'~&~	~&~'1'~&~	~&~'SAFE'~&~	~&~'20'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'112'~&~	~&~'44F39C472F1E409CE043814FD881409C'~&~	~&~'1'~&~	~&~'SHELVING'~&~	~&~'20'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
