HEADER[~&~	~&~A21_LBR_RPT_NBR::VARCHAR~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~A21LBR_RPT_PRD_TTL::VARCHAR~&~	~&~LBR_RPT_PRDSTAT_CD::VARCHAR~&~	~&~LBR_ET_FSCL_YR::DECIMAL~&~	~&~LBR_ET_FSCL_PRD_CD::VARCHAR~&~	~&~A21_LBR_RPT_TYP_CD::VARCHAR~&~	~&~A21LBR_RPT_RTRN_DT::TIMESTAMP~&~	~&~LBR_RPT_BEG_FSCL_YR::DECIMAL~&~	~&~LBR_RPT_BEG_FSCL_PRD_CD::VARCHAR~&~	~&~LBR_RPT_END_FSCL_YR::DECIMAL~&~	~&~LBR_RPT_END_FSCL_PRD_CD::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'A01'~&~	~&~'2019'~&~	~&~'5a9fa402-4b4a-481d-b4bf-50ed770688f0'~&~	~&~'2'~&~	~&~'Academic Fall'~&~	~&~'N'~&~	~&~'2019'~&~	~&~'06'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2019'~&~	~&~'02'~&~	~&~'2019'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A01'~&~	~&~'2020'~&~	~&~'e478fa7a-55c4-4d88-b537-a5182b4ee0e4'~&~	~&~'2'~&~	~&~'Academic Fall'~&~	~&~'N'~&~	~&~'2020'~&~	~&~'06'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2020'~&~	~&~'02'~&~	~&~'2020'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A01'~&~	~&~'2021'~&~	~&~'e37f35e0-029c-4c61-9eef-d99093b30aa6'~&~	~&~'2'~&~	~&~'Academic Fall'~&~	~&~'N'~&~	~&~'2021'~&~	~&~'06'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2021'~&~	~&~'02'~&~	~&~'2021'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2009'~&~	~&~'24441F48-DB7D-DF1F-C942-6C725BDEDCA1'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2009'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2009'~&~	~&~'07'~&~	~&~'2009'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2010'~&~	~&~'1A09DB76-46FC-7A7C-9B31-E8FA00D9C3DA'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2010'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2010'~&~	~&~'07'~&~	~&~'2010'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2011'~&~	~&~'B2E4178B-2B04-B7D3-56B6-55044A84CF86'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2011'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2011'~&~	~&~'07'~&~	~&~'2011'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2012'~&~	~&~'16D3F097-4593-3DCD-E30E-55F4F492B64F'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2012'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2012'~&~	~&~'07'~&~	~&~'2012'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2013'~&~	~&~'9437e8d1-c396-4564-ba68-1397d2008043'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2013'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2013'~&~	~&~'07'~&~	~&~'2013'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2014'~&~	~&~'2720505c-5a37-4286-9b24-ef1d7e2bd3e2'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2014'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2014'~&~	~&~'07'~&~	~&~'2014'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2015'~&~	~&~'780e6ad3-5673-4a9b-a1ff-d670c68a2950'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2015'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2015'~&~	~&~'07'~&~	~&~'2015'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2016'~&~	~&~'1e20b01d-171b-4714-9be9-85080473b8c8'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2016'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2016'~&~	~&~'07'~&~	~&~'2016'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2017'~&~	~&~'e3844ad9-6b98-4c7a-b8a3-4473148fffd1'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2017'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2017'~&~	~&~'07'~&~	~&~'2017'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2018'~&~	~&~'20e17ae0-1f07-4219-94e7-e5762cca7980'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2018'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2018'~&~	~&~'07'~&~	~&~'2018'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2019'~&~	~&~'04d491b9-e97a-4a09-8fe4-a042a2ce45b4'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2019'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2019'~&~	~&~'07'~&~	~&~'2019'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2020'~&~	~&~'107fcaf8-e804-433c-98a4-9d90079e779a'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2020'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2020'~&~	~&~'07'~&~	~&~'2020'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2021'~&~	~&~'fa71b35e-6323-4399-abfe-aecd158e7b56'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2021'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2021'~&~	~&~'07'~&~	~&~'2021'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A03'~&~	~&~'2009'~&~	~&~'08624594-8DAA-51CD-C8C6-1E33E977710E'~&~	~&~'2'~&~	~&~'Academic Summer'~&~	~&~'N'~&~	~&~'2010'~&~	~&~'02'~&~	~&~'SU'~&~	~&~NULL~&~	~&~'2009'~&~	~&~'11'~&~	~&~'2010'~&~	~&~'02'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2009'~&~	~&~'DFBB3ECE-C6CF-5195-C9FE-7A79EB0584EA'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2009'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2009'~&~	~&~'01'~&~	~&~'2009'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2010'~&~	~&~'C8E69606-A2BB-BEBB-E75D-6AFF27A70FC6'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2010'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2010'~&~	~&~'01'~&~	~&~'2010'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2011'~&~	~&~'7CC4D3C6-B9B5-2214-E353-5D0A76A9436F'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2011'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2011'~&~	~&~'01'~&~	~&~'2011'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2012'~&~	~&~'44460FF6-AF74-4E16-22E9-467A9A647C87'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2012'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2012'~&~	~&~'01'~&~	~&~'2012'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2013'~&~	~&~'68684b22-f9c0-428a-be58-c770f2fb5323'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2013'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2013'~&~	~&~'01'~&~	~&~'2013'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2014'~&~	~&~'532e02f0-277c-41df-b61b-b1581d7be1cb'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2014'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2014'~&~	~&~'01'~&~	~&~'2014'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2015'~&~	~&~'6efaaf73-f287-4454-a4f2-9a531cbc096a'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2015'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2015'~&~	~&~'01'~&~	~&~'2015'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2016'~&~	~&~'8afeaf19-5c2d-4c58-ba52-08e355a4ed7d'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2016'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2016'~&~	~&~'01'~&~	~&~'2016'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2017'~&~	~&~'a767d649-16b0-4edd-b742-fcab56f554dd'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2017'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2017'~&~	~&~'01'~&~	~&~'2017'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2018'~&~	~&~'e50bea75-3687-4edc-9b62-f3687b0cfdfc'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2018'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2018'~&~	~&~'01'~&~	~&~'2018'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2019'~&~	~&~'796387c8-d43e-4084-97f0-4015db281ba6'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2019'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2019'~&~	~&~'01'~&~	~&~'2019'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2020'~&~	~&~'24827217-a60e-4ff4-8dfb-0a82747d0d9c'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2020'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2020'~&~	~&~'01'~&~	~&~'2020'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B01'~&~	~&~'2021'~&~	~&~'86a9b5b0-c475-4588-9be8-8fafc96a1e39'~&~	~&~'2'~&~	~&~'Bi 1st Quarter'~&~	~&~'N'~&~	~&~'2021'~&~	~&~'03'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2021'~&~	~&~'01'~&~	~&~'2021'~&~	~&~'03'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2009'~&~	~&~'5310F630-9ED0-9C73-5C88-8FCB8371913C'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2009'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2009'~&~	~&~'04'~&~	~&~'2009'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2010'~&~	~&~'4DF01465-65E4-250C-375A-C9C3CBC948C9'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2010'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2010'~&~	~&~'04'~&~	~&~'2010'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2011'~&~	~&~'56F7CD5F-D27B-CF46-2C4A-F447905A1547'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2011'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2011'~&~	~&~'04'~&~	~&~'2011'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2012'~&~	~&~'7563DA67-6E43-229A-E9A2-250FF0B3F5B4'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2012'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2012'~&~	~&~'04'~&~	~&~'2012'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2013'~&~	~&~'a2b48a54-6021-405b-bfed-00cd2808b608'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2013'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2013'~&~	~&~'04'~&~	~&~'2013'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2014'~&~	~&~'3c3d1327-4453-4981-a200-db3f2ad11f6d'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2014'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2014'~&~	~&~'04'~&~	~&~'2014'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2015'~&~	~&~'65509819-86b8-43e3-9df4-2bcb0f9fe6c8'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2015'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2015'~&~	~&~'04'~&~	~&~'2015'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2016'~&~	~&~'2466c49c-b057-484d-80d6-32b15fe16100'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2016'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2016'~&~	~&~'04'~&~	~&~'2016'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2017'~&~	~&~'66569494-8337-4fe4-a99e-30fefb6ce3e8'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2017'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2017'~&~	~&~'04'~&~	~&~'2017'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2018'~&~	~&~'6bba3970-5d66-4686-a455-4f6656dddc19'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2018'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2018'~&~	~&~'04'~&~	~&~'2018'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2019'~&~	~&~'555d20c6-5d3b-4b1d-97f9-4909ea788eef'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2019'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2019'~&~	~&~'04'~&~	~&~'2019'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2020'~&~	~&~'91e7d96f-18f3-4591-a919-5987767849d6'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2020'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2020'~&~	~&~'04'~&~	~&~'2020'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B02'~&~	~&~'2021'~&~	~&~'15fcdef3-7eac-4d08-b13e-ace766f30fa5'~&~	~&~'2'~&~	~&~'Bi 2nd Quarter'~&~	~&~'N'~&~	~&~'2021'~&~	~&~'06'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2021'~&~	~&~'04'~&~	~&~'2021'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B03'~&~	~&~'2009'~&~	~&~'CF9FFC28-7319-C953-3CF2-539D681F4C18'~&~	~&~'2'~&~	~&~'Bi 3rd Quarter'~&~	~&~'N'~&~	~&~'2009'~&~	~&~'09'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2009'~&~	~&~'07'~&~	~&~'2009'~&~	~&~'09'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B03'~&~	~&~'2010'~&~	~&~'690E8B34-8670-14AF-CAA7-DCE8AF4324A3'~&~	~&~'2'~&~	~&~'Bi 3rd Quarter'~&~	~&~'N'~&~	~&~'2010'~&~	~&~'09'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2010'~&~	~&~'07'~&~	~&~'2010'~&~	~&~'09'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B03'~&~	~&~'2011'~&~	~&~'D1D56F4A-2B86-FE5D-6263-E76FA6B83BC7'~&~	~&~'2'~&~	~&~'Bi 3rd Quarter'~&~	~&~'N'~&~	~&~'2011'~&~	~&~'09'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2011'~&~	~&~'07'~&~	~&~'2011'~&~	~&~'09'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B03'~&~	~&~'2012'~&~	~&~'75A534AD-542D-04BC-1182-F2EA1EF24BAE'~&~	~&~'2'~&~	~&~'Bi 3rd Quarter'~&~	~&~'N'~&~	~&~'2012'~&~	~&~'09'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2012'~&~	~&~'07'~&~	~&~'2012'~&~	~&~'09'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B03'~&~	~&~'2013'~&~	~&~'0750be16-40a2-4643-9bc2-014784b48171'~&~	~&~'2'~&~	~&~'Bi 3rd Quarter'~&~	~&~'N'~&~	~&~'2013'~&~	~&~'09'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2013'~&~	~&~'07'~&~	~&~'2013'~&~	~&~'09'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B03'~&~	~&~'2014'~&~	~&~'6dbcffab-c578-4c9e-9e97-0c0777cf4376'~&~	~&~'2'~&~	~&~'Bi 3rd Quarter'~&~	~&~'N'~&~	~&~'2014'~&~	~&~'09'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2014'~&~	~&~'07'~&~	~&~'2014'~&~	~&~'09'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B03'~&~	~&~'2015'~&~	~&~'fcea9631-bc0e-4779-b387-d8bf8f9e58a6'~&~	~&~'2'~&~	~&~'Bi 3rd Quarter'~&~	~&~'N'~&~	~&~'2015'~&~	~&~'09'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2015'~&~	~&~'07'~&~	~&~'2015'~&~	~&~'09'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B03'~&~	~&~'2016'~&~	~&~'06a395f3-e889-407d-910d-08ce70ba852b'~&~	~&~'2'~&~	~&~'Bi 3rd Quarter'~&~	~&~'N'~&~	~&~'2016'~&~	~&~'09'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2016'~&~	~&~'07'~&~	~&~'2016'~&~	~&~'09'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B03'~&~	~&~'2017'~&~	~&~'dff68fa2-e6dc-4604-84e7-3683f8ff26c0'~&~	~&~'2'~&~	~&~'Bi 3rd Quarter'~&~	~&~'N'~&~	~&~'2017'~&~	~&~'09'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2017'~&~	~&~'07'~&~	~&~'2017'~&~	~&~'09'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'B03'~&~	~&~'2018'~&~	~&~'514405e0-35b5-485d-97f3-5948b15fddcd'~&~	~&~'2'~&~	~&~'Bi 3rd Quarter'~&~	~&~'N'~&~	~&~'2018'~&~	~&~'09'~&~	~&~'BI'~&~	~&~NULL~&~	~&~'2018'~&~	~&~'07'~&~	~&~'2018'~&~	~&~'09'~&~	~&~'Y'~&~	~&~]RECORD
