HEADER[~&~	~&~ENTITY_AFLTN_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ENTITY_ID::VARCHAR~&~	~&~AFLTN_TYP_CD::VARCHAR~&~	~&~CAMPUS_CD::VARCHAR~&~	~&~DFLT_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'KFS1019'~&~	~&~'KFS1019'~&~	~&~'1'~&~	~&~'KFS1019'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1020'~&~	~&~'KFS1020'~&~	~&~'1'~&~	~&~'KFS1020'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1021'~&~	~&~'KFS1021'~&~	~&~'1'~&~	~&~'KFS1021'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1022'~&~	~&~'KFS1022'~&~	~&~'1'~&~	~&~'KFS1022'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1023'~&~	~&~'KFS1023'~&~	~&~'1'~&~	~&~'KFS1023'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1024'~&~	~&~'KFS1024'~&~	~&~'1'~&~	~&~'KFS1024'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1025'~&~	~&~'KFS1025'~&~	~&~'1'~&~	~&~'KFS1025'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1026'~&~	~&~'KFS1026'~&~	~&~'1'~&~	~&~'KFS1026'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1027'~&~	~&~'KFS1027'~&~	~&~'1'~&~	~&~'KFS1027'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1028'~&~	~&~'KFS1028'~&~	~&~'1'~&~	~&~'KFS1028'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1029'~&~	~&~'KFS1029'~&~	~&~'1'~&~	~&~'KFS1029'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1030'~&~	~&~'KFS1030'~&~	~&~'1'~&~	~&~'KFS1030'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1031'~&~	~&~'KFS1031'~&~	~&~'1'~&~	~&~'KFS1031'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1032'~&~	~&~'KFS1032'~&~	~&~'1'~&~	~&~'KFS1032'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1033'~&~	~&~'KFS1033'~&~	~&~'1'~&~	~&~'KFS1033'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1035'~&~	~&~'KFS1035'~&~	~&~'1'~&~	~&~'KFS1035'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1036'~&~	~&~'KFS1036'~&~	~&~'1'~&~	~&~'KFS1036'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1037'~&~	~&~'KFS1037'~&~	~&~'1'~&~	~&~'KFS1037'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1038'~&~	~&~'KFS1038'~&~	~&~'1'~&~	~&~'KFS1038'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1039'~&~	~&~'KFS1039'~&~	~&~'1'~&~	~&~'KFS1039'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1040'~&~	~&~'KFS1040'~&~	~&~'1'~&~	~&~'KFS1040'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1041'~&~	~&~'KFS1041'~&~	~&~'1'~&~	~&~'KFS1041'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1042'~&~	~&~'KFS1042'~&~	~&~'1'~&~	~&~'KFS1042'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1043'~&~	~&~'KFS1043'~&~	~&~'1'~&~	~&~'KFS1043'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1044'~&~	~&~'KFS1044'~&~	~&~'1'~&~	~&~'KFS1044'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1045'~&~	~&~'KFS1045'~&~	~&~'1'~&~	~&~'KFS1045'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1046'~&~	~&~'KFS1046'~&~	~&~'1'~&~	~&~'KFS1046'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1047'~&~	~&~'KFS1047'~&~	~&~'1'~&~	~&~'KFS1047'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1048'~&~	~&~'KFS1048'~&~	~&~'1'~&~	~&~'KFS1048'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1049'~&~	~&~'KFS1049'~&~	~&~'1'~&~	~&~'KFS1049'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1050'~&~	~&~'KFS1050'~&~	~&~'1'~&~	~&~'KFS1050'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1052'~&~	~&~'KFS1052'~&~	~&~'1'~&~	~&~'KFS1052'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1053'~&~	~&~'KFS1053'~&~	~&~'1'~&~	~&~'KFS1053'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1054'~&~	~&~'KFS1054'~&~	~&~'1'~&~	~&~'KFS1054'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1055'~&~	~&~'KFS1055'~&~	~&~'1'~&~	~&~'KFS1055'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1056'~&~	~&~'KFS1056'~&~	~&~'1'~&~	~&~'KFS1056'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1057'~&~	~&~'KFS1057'~&~	~&~'1'~&~	~&~'KFS1057'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1058'~&~	~&~'KFS1058'~&~	~&~'1'~&~	~&~'KFS1058'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1059'~&~	~&~'KFS1059'~&~	~&~'1'~&~	~&~'KFS1059'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1060'~&~	~&~'KFS1060'~&~	~&~'1'~&~	~&~'KFS1060'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1061'~&~	~&~'KFS1061'~&~	~&~'1'~&~	~&~'KFS1061'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1062'~&~	~&~'KFS1062'~&~	~&~'1'~&~	~&~'KFS1062'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1063'~&~	~&~'KFS1063'~&~	~&~'1'~&~	~&~'KFS1063'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1064'~&~	~&~'KFS1064'~&~	~&~'1'~&~	~&~'KFS1064'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1065'~&~	~&~'KFS1065'~&~	~&~'1'~&~	~&~'KFS1065'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1066'~&~	~&~'KFS1066'~&~	~&~'1'~&~	~&~'KFS1066'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1067'~&~	~&~'KFS1067'~&~	~&~'1'~&~	~&~'KFS1067'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1068'~&~	~&~'KFS1068'~&~	~&~'1'~&~	~&~'KFS1068'~&~	~&~'STAFF'~&~	~&~'IN'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1069'~&~	~&~'KFS1069'~&~	~&~'1'~&~	~&~'KFS1069'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1070'~&~	~&~'KFS1070'~&~	~&~'1'~&~	~&~'KFS1070'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1071'~&~	~&~'KFS1071'~&~	~&~'1'~&~	~&~'KFS1071'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1072'~&~	~&~'KFS1072'~&~	~&~'1'~&~	~&~'KFS1072'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1073'~&~	~&~'KFS1073'~&~	~&~'1'~&~	~&~'KFS1073'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1074'~&~	~&~'KFS1074'~&~	~&~'1'~&~	~&~'KFS1074'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1075'~&~	~&~'KFS1075'~&~	~&~'1'~&~	~&~'KFS1075'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1076'~&~	~&~'KFS1076'~&~	~&~'1'~&~	~&~'KFS1076'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1077'~&~	~&~'KFS1077'~&~	~&~'1'~&~	~&~'KFS1077'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1078'~&~	~&~'KFS1078'~&~	~&~'1'~&~	~&~'KFS1078'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1079'~&~	~&~'KFS1079'~&~	~&~'1'~&~	~&~'KFS1079'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1080'~&~	~&~'KFS1080'~&~	~&~'1'~&~	~&~'KFS1080'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1081'~&~	~&~'KFS1081'~&~	~&~'1'~&~	~&~'KFS1081'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1082'~&~	~&~'KFS1082'~&~	~&~'1'~&~	~&~'KFS1082'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1083'~&~	~&~'KFS1083'~&~	~&~'1'~&~	~&~'KFS1083'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1084'~&~	~&~'KFS1084'~&~	~&~'1'~&~	~&~'KFS1084'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1085'~&~	~&~'KFS1085'~&~	~&~'1'~&~	~&~'KFS1085'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1086'~&~	~&~'KFS1086'~&~	~&~'1'~&~	~&~'KFS1086'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1087'~&~	~&~'KFS1087'~&~	~&~'1'~&~	~&~'KFS1087'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1088'~&~	~&~'KFS1088'~&~	~&~'1'~&~	~&~'KFS1088'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1089'~&~	~&~'KFS1089'~&~	~&~'1'~&~	~&~'KFS1089'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1090'~&~	~&~'KFS1090'~&~	~&~'1'~&~	~&~'KFS1090'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1091'~&~	~&~'KFS1091'~&~	~&~'1'~&~	~&~'KFS1091'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1092'~&~	~&~'KFS1092'~&~	~&~'1'~&~	~&~'KFS1092'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1093'~&~	~&~'KFS1093'~&~	~&~'1'~&~	~&~'KFS1093'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1094'~&~	~&~'KFS1094'~&~	~&~'1'~&~	~&~'KFS1094'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1095'~&~	~&~'KFS1095'~&~	~&~'1'~&~	~&~'KFS1095'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1096'~&~	~&~'KFS1096'~&~	~&~'1'~&~	~&~'KFS1096'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1097'~&~	~&~'KFS1097'~&~	~&~'1'~&~	~&~'KFS1097'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1098'~&~	~&~'KFS1098'~&~	~&~'1'~&~	~&~'KFS1098'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1099'~&~	~&~'KFS1099'~&~	~&~'1'~&~	~&~'KFS1099'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1100'~&~	~&~'KFS1100'~&~	~&~'1'~&~	~&~'KFS1100'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1101'~&~	~&~'KFS1101'~&~	~&~'1'~&~	~&~'KFS1101'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1102'~&~	~&~'KFS1102'~&~	~&~'1'~&~	~&~'KFS1102'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1103'~&~	~&~'KFS1103'~&~	~&~'1'~&~	~&~'KFS1103'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1104'~&~	~&~'KFS1104'~&~	~&~'1'~&~	~&~'KFS1104'~&~	~&~'STAFF'~&~	~&~'IN'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1105'~&~	~&~'KFS1105'~&~	~&~'1'~&~	~&~'KFS1105'~&~	~&~'STAFF'~&~	~&~'IN'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1106'~&~	~&~'KFS1106'~&~	~&~'1'~&~	~&~'KFS1106'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1107'~&~	~&~'KFS1107'~&~	~&~'1'~&~	~&~'KFS1107'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1108'~&~	~&~'KFS1108'~&~	~&~'1'~&~	~&~'KFS1108'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
