HEADER[~&~	~&~ENTITY_EMP_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ENTITY_ID::VARCHAR~&~	~&~ENTITY_AFLTN_ID::VARCHAR~&~	~&~EMP_STAT_CD::VARCHAR~&~	~&~EMP_TYP_CD::VARCHAR~&~	~&~BASE_SLRY_AMT::DECIMAL~&~	~&~PRMRY_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~PRMRY_DEPT_CD::VARCHAR~&~	~&~EMP_ID::VARCHAR~&~	~&~EMP_REC_ID::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'KFS1010'~&~	~&~'KFS1010'~&~	~&~'1'~&~	~&~'KFS1010'~&~	~&~'KFS1010'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000011'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1011'~&~	~&~'KFS1011'~&~	~&~'1'~&~	~&~'KFS1011'~&~	~&~'KFS1011'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-ARSD'~&~	~&~'0000000012'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1012'~&~	~&~'KFS1012'~&~	~&~'1'~&~	~&~'KFS1012'~&~	~&~'KFS1012'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000013'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1013'~&~	~&~'KFS1013'~&~	~&~'1'~&~	~&~'KFS1013'~&~	~&~'KFS1013'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-ARSD'~&~	~&~'0000000014'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1014'~&~	~&~'KFS1014'~&~	~&~'1'~&~	~&~'KFS1014'~&~	~&~'KFS1014'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000015'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1015'~&~	~&~'KFS1015'~&~	~&~'1'~&~	~&~'KFS1015'~&~	~&~'KFS1015'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-ARSD'~&~	~&~'0000000016'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1016'~&~	~&~'KFS1016'~&~	~&~'1'~&~	~&~'KFS1016'~&~	~&~'KFS1016'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000017'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1017'~&~	~&~'KFS1017'~&~	~&~'1'~&~	~&~'KFS1017'~&~	~&~'KFS1017'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-ARSD'~&~	~&~'0000000018'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1018'~&~	~&~'KFS1018'~&~	~&~'1'~&~	~&~'KFS1018'~&~	~&~'KFS1018'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-ARSD'~&~	~&~'0000000019'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1019'~&~	~&~'KFS1019'~&~	~&~'1'~&~	~&~'KFS1019'~&~	~&~'KFS1019'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-ARSD'~&~	~&~'0000000020'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1020'~&~	~&~'KFS1020'~&~	~&~'1'~&~	~&~'KFS1020'~&~	~&~'KFS1020'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000021'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1021'~&~	~&~'KFS1021'~&~	~&~'1'~&~	~&~'KFS1021'~&~	~&~'KFS1021'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000022'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1022'~&~	~&~'KFS1022'~&~	~&~'1'~&~	~&~'KFS1022'~&~	~&~'KFS1022'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000023'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1023'~&~	~&~'KFS1023'~&~	~&~'1'~&~	~&~'KFS1023'~&~	~&~'KFS1023'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000024'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1024'~&~	~&~'KFS1024'~&~	~&~'1'~&~	~&~'KFS1024'~&~	~&~'KFS1024'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BRAD'~&~	~&~'0000000025'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1025'~&~	~&~'KFS1025'~&~	~&~'1'~&~	~&~'KFS1025'~&~	~&~'KFS1025'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000026'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1026'~&~	~&~'KFS1026'~&~	~&~'1'~&~	~&~'KFS1026'~&~	~&~'KFS1026'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000027'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1027'~&~	~&~'KFS1027'~&~	~&~'1'~&~	~&~'KFS1027'~&~	~&~'KFS1027'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000028'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1028'~&~	~&~'KFS1028'~&~	~&~'1'~&~	~&~'KFS1028'~&~	~&~'KFS1028'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000029'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1029'~&~	~&~'KFS1029'~&~	~&~'1'~&~	~&~'KFS1029'~&~	~&~'KFS1029'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000030'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1030'~&~	~&~'KFS1030'~&~	~&~'1'~&~	~&~'KFS1030'~&~	~&~'KFS1030'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000031'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1031'~&~	~&~'KFS1031'~&~	~&~'1'~&~	~&~'KFS1031'~&~	~&~'KFS1031'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000032'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1032'~&~	~&~'KFS1032'~&~	~&~'1'~&~	~&~'KFS1032'~&~	~&~'KFS1032'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000033'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1033'~&~	~&~'KFS1033'~&~	~&~'1'~&~	~&~'KFS1033'~&~	~&~'KFS1033'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000034'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1035'~&~	~&~'KFS1035'~&~	~&~'1'~&~	~&~'KFS1035'~&~	~&~'KFS1035'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000036'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1036'~&~	~&~'KFS1036'~&~	~&~'1'~&~	~&~'KFS1036'~&~	~&~'KFS1036'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000037'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1037'~&~	~&~'KFS1037'~&~	~&~'1'~&~	~&~'KFS1037'~&~	~&~'KFS1037'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000038'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1038'~&~	~&~'KFS1038'~&~	~&~'1'~&~	~&~'KFS1038'~&~	~&~'KFS1038'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000039'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1039'~&~	~&~'KFS1039'~&~	~&~'1'~&~	~&~'KFS1039'~&~	~&~'KFS1039'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000040'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1040'~&~	~&~'KFS1040'~&~	~&~'1'~&~	~&~'KFS1040'~&~	~&~'KFS1040'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000041'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1041'~&~	~&~'KFS1041'~&~	~&~'1'~&~	~&~'KFS1041'~&~	~&~'KFS1041'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000042'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1042'~&~	~&~'KFS1042'~&~	~&~'1'~&~	~&~'KFS1042'~&~	~&~'KFS1042'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000043'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1043'~&~	~&~'KFS1043'~&~	~&~'1'~&~	~&~'KFS1043'~&~	~&~'KFS1043'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000044'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1044'~&~	~&~'KFS1044'~&~	~&~'1'~&~	~&~'KFS1044'~&~	~&~'KFS1044'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000045'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1045'~&~	~&~'KFS1045'~&~	~&~'1'~&~	~&~'KFS1045'~&~	~&~'KFS1045'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000046'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1046'~&~	~&~'KFS1046'~&~	~&~'1'~&~	~&~'KFS1046'~&~	~&~'KFS1046'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000047'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1047'~&~	~&~'KFS1047'~&~	~&~'1'~&~	~&~'KFS1047'~&~	~&~'KFS1047'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000048'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1048'~&~	~&~'KFS1048'~&~	~&~'1'~&~	~&~'KFS1048'~&~	~&~'KFS1048'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000049'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1049'~&~	~&~'KFS1049'~&~	~&~'1'~&~	~&~'KFS1049'~&~	~&~'KFS1049'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000050'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1050'~&~	~&~'KFS1050'~&~	~&~'1'~&~	~&~'KFS1050'~&~	~&~'KFS1050'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000051'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1052'~&~	~&~'KFS1052'~&~	~&~'1'~&~	~&~'KFS1052'~&~	~&~'KFS1052'~&~	~&~'T'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000053'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1053'~&~	~&~'KFS1053'~&~	~&~'1'~&~	~&~'KFS1053'~&~	~&~'KFS1053'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000054'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1054'~&~	~&~'KFS1054'~&~	~&~'1'~&~	~&~'KFS1054'~&~	~&~'KFS1054'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000055'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1055'~&~	~&~'KFS1055'~&~	~&~'1'~&~	~&~'KFS1055'~&~	~&~'KFS1055'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000056'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1056'~&~	~&~'KFS1056'~&~	~&~'1'~&~	~&~'KFS1056'~&~	~&~'KFS1056'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000057'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1057'~&~	~&~'KFS1057'~&~	~&~'1'~&~	~&~'KFS1057'~&~	~&~'KFS1057'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000058'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1058'~&~	~&~'KFS1058'~&~	~&~'1'~&~	~&~'KFS1058'~&~	~&~'KFS1058'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000059'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1059'~&~	~&~'KFS1059'~&~	~&~'1'~&~	~&~'KFS1059'~&~	~&~'KFS1059'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000060'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1060'~&~	~&~'KFS1060'~&~	~&~'1'~&~	~&~'KFS1060'~&~	~&~'KFS1060'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000061'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1061'~&~	~&~'KFS1061'~&~	~&~'1'~&~	~&~'KFS1061'~&~	~&~'KFS1061'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000062'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1062'~&~	~&~'KFS1062'~&~	~&~'1'~&~	~&~'KFS1062'~&~	~&~'KFS1062'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000063'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1063'~&~	~&~'KFS1063'~&~	~&~'1'~&~	~&~'KFS1063'~&~	~&~'KFS1063'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000064'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1064'~&~	~&~'KFS1064'~&~	~&~'1'~&~	~&~'KFS1064'~&~	~&~'KFS1064'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000065'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1065'~&~	~&~'KFS1065'~&~	~&~'1'~&~	~&~'KFS1065'~&~	~&~'KFS1065'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000066'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1066'~&~	~&~'KFS1066'~&~	~&~'1'~&~	~&~'KFS1066'~&~	~&~'KFS1066'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000067'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1067'~&~	~&~'KFS1067'~&~	~&~'1'~&~	~&~'KFS1067'~&~	~&~'KFS1067'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000069'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1068'~&~	~&~'KFS1068'~&~	~&~'1'~&~	~&~'KFS1068'~&~	~&~'KFS1068'~&~	~&~'A'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'IN-IN'~&~	~&~'0000000070'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1069'~&~	~&~'KFS1069'~&~	~&~'1'~&~	~&~'KFS1069'~&~	~&~'KFS1069'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000071'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1070'~&~	~&~'KFS1070'~&~	~&~'1'~&~	~&~'KFS1070'~&~	~&~'KFS1070'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000072'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1071'~&~	~&~'KFS1071'~&~	~&~'1'~&~	~&~'KFS1071'~&~	~&~'KFS1071'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000073'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1072'~&~	~&~'KFS1072'~&~	~&~'1'~&~	~&~'KFS1072'~&~	~&~'KFS1072'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000074'~&~	~&~'1'~&~	~&~]RECORD
