HEADER[~&~	~&~PRNCPL_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PRNCPL_NM::VARCHAR~&~	~&~ENTITY_ID::VARCHAR~&~	~&~PRNCPL_PSWD::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'1249702947'~&~	~&~'KFS1249702947'~&~	~&~'1'~&~	~&~'mbshorte'~&~	~&~'KFS1006'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1250802481'~&~	~&~'KFS1250802481'~&~	~&~'1'~&~	~&~'mswitzer'~&~	~&~'KFS3140'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1255308159'~&~	~&~'KFS1255308159'~&~	~&~'1'~&~	~&~'jswaney'~&~	~&~'KFS3375'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1257009999'~&~	~&~'KFS1257009999'~&~	~&~'1'~&~	~&~'bburruss'~&~	~&~'KFS3189'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1257605304'~&~	~&~'KFS1257605304'~&~	~&~'1'~&~	~&~'vbmaddux'~&~	~&~'KFS3236'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1259209800'~&~	~&~'KFS1259209800'~&~	~&~'1'~&~	~&~'smcsween'~&~	~&~'KFS3614'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1271001025'~&~	~&~'KFS1271001025'~&~	~&~'1'~&~	~&~'acrowe'~&~	~&~'KFS2907'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1271005561'~&~	~&~'KFS1271005561'~&~	~&~'1'~&~	~&~'abbagby'~&~	~&~'KFS3853'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1271304676'~&~	~&~'KFS1271304676'~&~	~&~'1'~&~	~&~'wbrazil'~&~	~&~'KFS3122'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1273305787'~&~	~&~'KFS1273305787'~&~	~&~'1'~&~	~&~'tgrigg'~&~	~&~'KFS3013'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1274007182'~&~	~&~'KFS1274007182'~&~	~&~'1'~&~	~&~'dbschlue'~&~	~&~'KFS3904'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1275504380'~&~	~&~'KFS1275504380'~&~	~&~'1'~&~	~&~'bbsimone'~&~	~&~'KFS2073'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1288107367'~&~	~&~'KFS1288107367'~&~	~&~'1'~&~	~&~'bbshankl'~&~	~&~'KFS1014'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1289603908'~&~	~&~'KFS1289603908'~&~	~&~'1'~&~	~&~'dbweed'~&~	~&~'KFS3597'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1290503526'~&~	~&~'KFS1290503526'~&~	~&~'1'~&~	~&~'fnunes'~&~	~&~'KFS2945'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1290807742'~&~	~&~'KFS1290807742'~&~	~&~'1'~&~	~&~'smarrufo'~&~	~&~'KFS3915'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1294109220'~&~	~&~'KFS1294109220'~&~	~&~'1'~&~	~&~'lblechne'~&~	~&~'KFS3868'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1297209262'~&~	~&~'KFS1297209262'~&~	~&~'1'~&~	~&~'hbbigley'~&~	~&~'KFS3612'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1298309000'~&~	~&~'KFS1298309000'~&~	~&~'1'~&~	~&~'hnichol'~&~	~&~'KFS3104'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1298803604'~&~	~&~'KFS1298803604'~&~	~&~'1'~&~	~&~'dbdesant'~&~	~&~'KFS3611'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1302403183'~&~	~&~'KFS1302403183'~&~	~&~'1'~&~	~&~'reich'~&~	~&~'KFS1515'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1304408857'~&~	~&~'KFS1304408857'~&~	~&~'1'~&~	~&~'hbogard'~&~	~&~'KFS3198'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1305309367'~&~	~&~'KFS1305309367'~&~	~&~'1'~&~	~&~'jaube'~&~	~&~'KFS3957'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1305500732'~&~	~&~'KFS1305500732'~&~	~&~'1'~&~	~&~'jpenning'~&~	~&~'KFS3983'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1306305885'~&~	~&~'KFS1306305885'~&~	~&~'1'~&~	~&~'lcbreton'~&~	~&~'KFS3754'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1306901621'~&~	~&~'KFS1306901621'~&~	~&~'1'~&~	~&~'acegan'~&~	~&~'KFS3603'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1308508136'~&~	~&~'KFS1308508136'~&~	~&~'1'~&~	~&~'hagood'~&~	~&~'KFS2797'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1309104027'~&~	~&~'KFS1309104027'~&~	~&~'1'~&~	~&~'feeney'~&~	~&~'KFS2693'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1312601202'~&~	~&~'KFS1312601202'~&~	~&~'1'~&~	~&~'kcemery'~&~	~&~'KFS3298'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1325700900'~&~	~&~'KFS1325700900'~&~	~&~'1'~&~	~&~'dcote'~&~	~&~'KFS3355'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1326309202'~&~	~&~'KFS1326309202'~&~	~&~'1'~&~	~&~'pagel'~&~	~&~'KFS2920'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1326409751'~&~	~&~'KFS1326409751'~&~	~&~'1'~&~	~&~'wadamski'~&~	~&~'KFS2815'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1329201709'~&~	~&~'KFS1329201709'~&~	~&~'1'~&~	~&~'scatwood'~&~	~&~'KFS3940'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1329701509'~&~	~&~'KFS1329701509'~&~	~&~'1'~&~	~&~'tcgabrie'~&~	~&~'KFS4008'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1335003222'~&~	~&~'KFS1335003222'~&~	~&~'1'~&~	~&~'jkitchen'~&~	~&~'KFS2965'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1340401175'~&~	~&~'KFS1340401175'~&~	~&~'1'~&~	~&~'scgorman'~&~	~&~'KFS3465'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1362801241'~&~	~&~'KFS1362801241'~&~	~&~'1'~&~	~&~'crockett'~&~	~&~'KFS1091'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1364506195'~&~	~&~'KFS1364506195'~&~	~&~'1'~&~	~&~'rcwhitte'~&~	~&~'KFS2917'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1365502400'~&~	~&~'KFS1365502400'~&~	~&~'1'~&~	~&~'toldham'~&~	~&~'KFS3268'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1369907980'~&~	~&~'KFS1369907980'~&~	~&~'1'~&~	~&~'mgaspard'~&~	~&~'KFS3032'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1370604405'~&~	~&~'KFS1370604405'~&~	~&~'1'~&~	~&~'nbarden'~&~	~&~'KFS3272'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'KFS1373005978'~&~	~&~'1'~&~	~&~'hsoucy'~&~	~&~'KFS3743'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1373503598'~&~	~&~'KFS1373503598'~&~	~&~'1'~&~	~&~'hoates'~&~	~&~'KFS3679'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1377209588'~&~	~&~'KFS1377209588'~&~	~&~'1'~&~	~&~'clinksca'~&~	~&~'KFS2762'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1381802688'~&~	~&~'KFS1381802688'~&~	~&~'1'~&~	~&~'mitalber'~&~	~&~'KFS3154'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1386607996'~&~	~&~'KFS1386607996'~&~	~&~'1'~&~	~&~'eccann'~&~	~&~'KFS3449'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1391306877'~&~	~&~'KFS1391306877'~&~	~&~'1'~&~	~&~'jccrim'~&~	~&~'KFS3616'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1391703903'~&~	~&~'KFS1391703903'~&~	~&~'1'~&~	~&~'jccranfo'~&~	~&~'KFS3773'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1391709836'~&~	~&~'KFS1391709836'~&~	~&~'1'~&~	~&~'jcgasawa'~&~	~&~'KFS3024'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1394308640'~&~	~&~'KFS1394308640'~&~	~&~'1'~&~	~&~'ccjeanlo'~&~	~&~'KFS3585'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1395608638'~&~	~&~'KFS1395608638'~&~	~&~'1'~&~	~&~'dkeesee'~&~	~&~'KFS3319'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1396502519'~&~	~&~'KFS1396502519'~&~	~&~'1'~&~	~&~'acbaugh'~&~	~&~'KFS3035'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1399906687'~&~	~&~'KFS1399906687'~&~	~&~'1'~&~	~&~'jcmcphee'~&~	~&~'KFS3228'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1401601855'~&~	~&~'KFS1401601855'~&~	~&~'1'~&~	~&~'gyazzie'~&~	~&~'KFS3179'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1402703961'~&~	~&~'KFS1402703961'~&~	~&~'1'~&~	~&~'ahrens'~&~	~&~'KFS2388'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1407101459'~&~	~&~'KFS1407101459'~&~	~&~'1'~&~	~&~'fpelleti'~&~	~&~'KFS3296'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1409801740'~&~	~&~'KFS1409801740'~&~	~&~'1'~&~	~&~'edsteine'~&~	~&~'KFS3563'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1409904240'~&~	~&~'KFS1409904240'~&~	~&~'1'~&~	~&~'jdpfeife'~&~	~&~'KFS3170'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1416100736'~&~	~&~'KFS1416100736'~&~	~&~'1'~&~	~&~'tkoch'~&~	~&~'KFS3816'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1417202799'~&~	~&~'KFS1417202799'~&~	~&~'1'~&~	~&~'gdduggan'~&~	~&~'KFS3777'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1421900725'~&~	~&~'KFS1421900725'~&~	~&~'1'~&~	~&~'bdashley'~&~	~&~'KFS3675'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1423005543'~&~	~&~'KFS1423005543'~&~	~&~'1'~&~	~&~'henshaw'~&~	~&~'KFS2235'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1423508220'~&~	~&~'KFS1423508220'~&~	~&~'1'~&~	~&~'jdboldt'~&~	~&~'KFS3982'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1429401698'~&~	~&~'KFS1429401698'~&~	~&~'1'~&~	~&~'tdweir'~&~	~&~'KFS3890'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1429707627'~&~	~&~'KFS1429707627'~&~	~&~'1'~&~	~&~'tdblackm'~&~	~&~'KFS3305'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1435600603'~&~	~&~'KFS1435600603'~&~	~&~'1'~&~	~&~'rhess'~&~	~&~'KFS3783'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1435601504'~&~	~&~'KFS1435601504'~&~	~&~'1'~&~	~&~'rplatt'~&~	~&~'KFS2887'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1438202062'~&~	~&~'KFS1438202062'~&~	~&~'1'~&~	~&~'bdbenedi'~&~	~&~'KFS2621'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1443505632'~&~	~&~'KFS1443505632'~&~	~&~'1'~&~	~&~'adbrunel'~&~	~&~'KFS3789'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1445401166'~&~	~&~'KFS1445401166'~&~	~&~'1'~&~	~&~'erubio'~&~	~&~'KFS2837'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1452907448'~&~	~&~'KFS1452907448'~&~	~&~'1'~&~	~&~'thaxton'~&~	~&~'KFS2138'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1461200273'~&~	~&~'KFS1461200273'~&~	~&~'1'~&~	~&~'clowe'~&~	~&~'KFS3542'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
