HEADER[~&~	~&~POSITION_NBR::VARCHAR~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~VER_NBR::DECIMAL~&~	~&~POS_EFFDT::TIMESTAMP~&~	~&~POS_EFF_STATUS::VARCHAR~&~	~&~POSN_STATUS::VARCHAR~&~	~&~BUDGETED_POSN::VARCHAR~&~	~&~CONFIDENTIAL_POSN::VARCHAR~&~	~&~POS_STD_HRS_DFLT::DECIMAL~&~	~&~POS_REG_TEMP::VARCHAR~&~	~&~POS_FTE::DECIMAL~&~	~&~IU_NORM_WORK_MONTHS::DECIMAL~&~	~&~IU_PAY_MONTHS::DECIMAL~&~	~&~POS_DESCR::VARCHAR~&~	~&~SETID_DEPT::VARCHAR~&~	~&~POS_DEPTID::VARCHAR~&~	~&~RC_CD::VARCHAR~&~	~&~POS_UNION_CD::VARCHAR~&~	~&~POS_SAL_PLAN_DFLT::VARCHAR~&~	~&~POS_GRADE_DFLT::VARCHAR~&~	~&~SETID_JOBCODE::VARCHAR~&~	~&~JOBCODE::VARCHAR~&~	~&~JBCD_DESCR::VARCHAR~&~	~&~SETID_SALARY::VARCHAR~&~	~&~IU_DFLT_OBJ_CD::VARCHAR~&~	~&~IU_POSITION_TYPE::VARCHAR~&~	~&~POS_LOCK_USR_ID::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'00001005'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00001006'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00001007'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00001010'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00001011'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00001012'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00001013'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00001014'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00001109'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00004136'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200707010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'12'~&~	~&~'12'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'SS'~&~	~&~'0D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2500'~&~	~&~'SB'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00004239'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200707010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'12'~&~	~&~'12'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'SS'~&~	~&~'0D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2500'~&~	~&~'SB'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00004464'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00004674'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00004682'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005047'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005149'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005207'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005350'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200707010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'12'~&~	~&~'12'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BA-PARK'~&~	~&~'80'~&~	~&~NULL~&~	~&~'SS'~&~	~&~'0D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2500'~&~	~&~'SB'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005489'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005490'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005491'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005493'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005494'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005495'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005496'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005497'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005498'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005499'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005500'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'00005501'~&~	~&~'2009'~&~	~&~'1'~&~	~&~'200708010000000000'~&~	~&~'A'~&~	~&~'A'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'40.00'~&~	~&~'R'~&~	~&~NULL~&~	~&~'10'~&~	~&~'10'~&~	~&~'Generated from CSF'~&~	~&~NULL~&~	~&~'BL-PSY'~&~	~&~'04'~&~	~&~NULL~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2000'~&~	~&~'AC'~&~	~&~NULL~&~	~&~]RECORD
