HEADER[~&~	~&~PERSON_UNVL_ID::VARCHAR~&~	~&~ORG_FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~FUND_GRP_CD::VARCHAR~&~	~&~SUB_FUND_GRP_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~SUB_ACCT_NBR::VARCHAR~&~	~&~INC_EXP_CD::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACLN_ANNL_BAL_AMT::DECIMAL~&~	~&~FIN_BEG_BAL_LN_AMT::DECIMAL~&~	~&~SUB_FUND_SORT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERE'~&~	~&~'4631680'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERE'~&~	~&~'4631683'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERE'~&~	~&~'4631684'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERE'~&~	~&~'4631685'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERE'~&~	~&~'4631686'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERF'~&~	~&~'4331301'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERJ'~&~	~&~'4631303'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERJ'~&~	~&~'4631629'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'39.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERJ'~&~	~&~'4631638'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERJ'~&~	~&~'4631645'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERJ'~&~	~&~'4631648'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERJ'~&~	~&~'4631669'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERK'~&~	~&~'4231400'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERP'~&~	~&~'4831402'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FOUNDF'~&~	~&~'4431425'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FOUNDF'~&~	~&~'4431427'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FOUNDF'~&~	~&~'5431400'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26.00'~&~	~&~'0.00'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FOUNDF'~&~	~&~'5431400'~&~	~&~'ADMIN'~&~	~&~'X'~&~	~&~'1'~&~	~&~'13.00'~&~	~&~'0.00'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FOUNDF'~&~	~&~'5431400'~&~	~&~'DERUY'~&~	~&~'X'~&~	~&~'1'~&~	~&~'13.00'~&~	~&~'0.00'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FOUNDF'~&~	~&~'5431400'~&~	~&~'DIMAR'~&~	~&~'X'~&~	~&~'1'~&~	~&~'13.00'~&~	~&~'0.00'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FOUNDF'~&~	~&~'5431400'~&~	~&~'STOUT'~&~	~&~'X'~&~	~&~'1'~&~	~&~'13.00'~&~	~&~'0.00'~&~	~&~'17'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'HIEDUM'~&~	~&~'4031446'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'HIEDUP'~&~	~&~'4031301'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'HIEDUP'~&~	~&~'4031443'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'NONPRA'~&~	~&~'4131407'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'18'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'NONPRP'~&~	~&~'4131414'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'18'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211101'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211101'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211102'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211102'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211103'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211103'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211104'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211104'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211105'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211105'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211106'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211106'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211107'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211107'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211108'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211108'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211109'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211109'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211501'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211501'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211502'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211502'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211503'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211503'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211504'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211504'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211505'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211505'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211506'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211506'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211507'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211507'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211508'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211508'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211509'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211509'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211701'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211701'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211702'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211702'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211703'~&~	~&~'-----'~&~	~&~'A'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'DS'~&~	~&~'DFRES'~&~	~&~'0211703'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26001.00'~&~	~&~'26000.00'~&~	~&~'05'~&~	~&~]RECORD
