HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ORG_LT_CHRG_OBJ_CD::VARCHAR~&~	~&~INV_FIN_COA_CD::VARCHAR~&~	~&~INV_ACCT_NBR::VARCHAR~&~	~&~INV_SUB_ACCT_NBR::VARCHAR~&~	~&~INV_FIN_OBJ_CD::VARCHAR~&~	~&~INV_FIN_SUB_OBJ_CD::VARCHAR~&~	~&~INV_PROJECT_CD::VARCHAR~&~	~&~INV_ORG_REF_ID::VARCHAR~&~	~&~PMT_FIN_COA_CD::VARCHAR~&~	~&~PMT_ACCT_NBR::VARCHAR~&~	~&~PMT_SUB_ACCT_NBR::VARCHAR~&~	~&~PMT_FIN_OBJ_CD::VARCHAR~&~	~&~PMT_FIN_SUB_OBJ_CD::VARCHAR~&~	~&~PMT_PROJECT_CD::VARCHAR~&~	~&~PMT_ORG_REF_ID::VARCHAR~&~	~&~WRITEOFF_FIN_COA_CD::VARCHAR~&~	~&~WRITEOFF_ACCT_NBR::VARCHAR~&~	~&~WRITEOFF_SUB_ACCT_NBR::VARCHAR~&~	~&~WRITEOFF_FIN_OBJ_CD::VARCHAR~&~	~&~WRITEOFF_FIN_SUB_OBJ_CD::VARCHAR~&~	~&~WRITEOFF_PROJECT_CD::VARCHAR~&~	~&~WRITEOFF_ORG_REF_ID::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2011'~&~	~&~'EA'~&~	~&~'BOOK'~&~	~&~'0649744D-A661-3427-C040-6930EE9CBFB3'~&~	~&~'2'~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'0309465'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'IN'~&~	~&~'LART'~&~	~&~'B8848418-A56F-B083-83EC-A424D240335C'~&~	~&~'2'~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292016'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292087'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'4894706'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BA'~&~	~&~'MOTR'~&~	~&~'CF5F5815-FBB9-9DD1-DB3D-793EF45E4FF0'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BA'~&~	~&~'6628030'~&~	~&~NULL~&~	~&~'1687'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BL'~&~	~&~'UGCS'~&~	~&~'1E8D7DE7-D10F-3F5C-596A-C5E852083EA8'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BL'~&~	~&~'2336320'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'EA'~&~	~&~'BOOK'~&~	~&~'21F37445-87F0-5971-A384-62B879583E87'~&~	~&~'2'~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'0309465'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'IN'~&~	~&~'LART'~&~	~&~'15370C15-8D4C-F187-7B32-D53FD951A588'~&~	~&~'2'~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292016'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292087'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'4894706'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BA'~&~	~&~'MOTR'~&~	~&~'2d4e0783-86b6-48f7-891e-1e9af508bb6b'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BA'~&~	~&~'6628030'~&~	~&~NULL~&~	~&~'1687'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BL'~&~	~&~'UGCS'~&~	~&~'0b1705e8-3c3f-4a32-84d4-1c0ee3c9e92b'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BL'~&~	~&~'2336320'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'EA'~&~	~&~'BOOK'~&~	~&~'d37b1351-87e7-4870-ad07-9b0dabd044e2'~&~	~&~'2'~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'0309465'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'IN'~&~	~&~'LART'~&~	~&~'2d76978f-196b-4049-983d-6d876c9698ef'~&~	~&~'2'~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292016'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292087'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'4894706'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BA'~&~	~&~'MOTR'~&~	~&~'09be78e2-1ee6-4459-987f-38faa2aab9de'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BA'~&~	~&~'6628030'~&~	~&~NULL~&~	~&~'1687'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BL'~&~	~&~'ARSD'~&~	~&~'d6bd31c3-16cf-4c72-8630-60f413b190d5'~&~	~&~'1'~&~	~&~NULL~&~	~&~'UA'~&~	~&~'6812758'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BL'~&~	~&~'CHEM'~&~	~&~'b4056c1f-d59d-47e9-ae21-79e5e30a5e02'~&~	~&~'1'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'2931401'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~'2231405'~&~	~&~NULL~&~	~&~'8110'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'c136ba80-0597-4683-b989-c6d0499f90b1'~&~	~&~'2'~&~	~&~NULL~&~	~&~'UA'~&~	~&~'6812758'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BL'~&~	~&~'RUAD'~&~	~&~'9d753011-eb67-4425-8c29-b8c79b4e2558'~&~	~&~'1'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'2931401'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~'2231405'~&~	~&~NULL~&~	~&~'8110'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BL'~&~	~&~'UGCS'~&~	~&~'85cccd50-83ad-432c-b4f1-0bcf8df2df9f'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BL'~&~	~&~'2336320'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'EA'~&~	~&~'BOOK'~&~	~&~'60786d01-37d1-4c1a-8cd9-1d2872db55b6'~&~	~&~'2'~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'0309465'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'IN'~&~	~&~'LART'~&~	~&~'b00c0184-7dc8-4b13-88ec-6bf99f0c9ad6'~&~	~&~'2'~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292016'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292087'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'4894706'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BA'~&~	~&~'MOTR'~&~	~&~'8aa3d7f5-c83b-40c2-bb3b-ccb84687d411'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BA'~&~	~&~'6628030'~&~	~&~NULL~&~	~&~'1687'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BL'~&~	~&~'ARSD'~&~	~&~'09d1e4f6-2560-47a5-b2cd-8a020fd7af46'~&~	~&~'2'~&~	~&~NULL~&~	~&~'UA'~&~	~&~'6812758'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BL'~&~	~&~'CHEM'~&~	~&~'0d54ffff-fe34-4bf0-bf66-b294ace5218e'~&~	~&~'2'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'2931401'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~'2231405'~&~	~&~NULL~&~	~&~'8110'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'e6be1847-bf4f-4e2a-ba14-c15f44e03326'~&~	~&~'2'~&~	~&~NULL~&~	~&~'UA'~&~	~&~'6812758'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BL'~&~	~&~'RUAD'~&~	~&~'872f3ea3-938e-491c-a886-0388cba70021'~&~	~&~'2'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'2931401'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~'2231405'~&~	~&~NULL~&~	~&~'8110'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BL'~&~	~&~'UGCS'~&~	~&~'95722dd3-d57c-4e3d-b049-10d4999cd28d'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BL'~&~	~&~'2336320'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'EA'~&~	~&~'BOOK'~&~	~&~'1499abbe-08a3-4725-a79c-2c6be3bdd7bb'~&~	~&~'2'~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'0309465'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'IN'~&~	~&~'LART'~&~	~&~'6d48a8e3-a709-4a47-99e8-3b5acab7191b'~&~	~&~'2'~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292016'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292087'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'4894706'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'BA'~&~	~&~'MOTR'~&~	~&~'892b3d83-0177-4970-8a15-e117ab1cf66d'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BA'~&~	~&~'6628030'~&~	~&~NULL~&~	~&~'1687'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'BL'~&~	~&~'ARSD'~&~	~&~'4b176043-cffa-463f-b3cd-c3e635ec03e9'~&~	~&~'2'~&~	~&~NULL~&~	~&~'UA'~&~	~&~'6812758'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
