HEADER[~&~	~&~CUST_NBR::VARCHAR~&~	~&~CUST_ADDR_ID::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CUST_ADDR_NM::VARCHAR~&~	~&~CUST_LINE_1_ADDR::VARCHAR~&~	~&~CUST_LINE_2_ADDR::VARCHAR~&~	~&~CUST_CITY_NM::VARCHAR~&~	~&~CUST_STATE_CD::VARCHAR~&~	~&~CUST_ZIP_CD::VARCHAR~&~	~&~CUST_CNTRY_CD::VARCHAR~&~	~&~CUST_ADDR_INTL_PROV_NM::VARCHAR~&~	~&~CUST_INTL_MAIL_CD::VARCHAR~&~	~&~CUST_EMAIL_ADDR::VARCHAR~&~	~&~CUST_ADDR_TYPE_CD::VARCHAR~&~	~&~CUST_ADDR_END_DT::TIMESTAMP~&~	~&~INV_TMPLT_CD::VARCHAR~&~	~&~COPIES_TO_PRINT_QTY::DECIMAL~&~	~&~INV_TRNS_MTHD_CD::VARCHAR~&~	~&~ENV_TO_PRINT_QTY::DECIMAL~&~	~&~]HEADER
RECORD[~&~	~&~'ACN17421'~&~	~&~'3'~&~	~&~'48A7ED7FC242FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'LANTZ CORPORATION'~&~	~&~'100916 MAIN STREET'~&~	~&~'SUITE 467L'~&~	~&~'COVINGTON'~&~	~&~'KY'~&~	~&~'41011'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AER17927'~&~	~&~'1'~&~	~&~'48A7ED7FC072FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'DELOZIER CORPORATION'~&~	~&~'100452 MAIN STREET'~&~	~&~'SUITE 241D'~&~	~&~'MASON'~&~	~&~'OH'~&~	~&~'45040'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AER17927'~&~	~&~'2'~&~	~&~'48A7ED7FC15EFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'DELOZIER CORPORATION'~&~	~&~'100688 MAIN STREET'~&~	~&~'SUITE 352D'~&~	~&~'ARDEN HILLS'~&~	~&~'MN'~&~	~&~'55126'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AER17927'~&~	~&~'3'~&~	~&~'48A7ED7FC1E8FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'DELOZIER CORPORATION'~&~	~&~'100826 MAIN STREET'~&~	~&~'SUITE 425D'~&~	~&~'INDIANAPOLIS'~&~	~&~'IN'~&~	~&~'46240'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AER17927'~&~	~&~'4'~&~	~&~'48A7ED7FC248FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'DELOZIER CORPORATION'~&~	~&~'100922 MAIN STREET'~&~	~&~'FLOOR 468D'~&~	~&~'ARDEN HILLS'~&~	~&~'MN'~&~	~&~'55112'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AER17927'~&~	~&~'5'~&~	~&~'48A7ED7FC264FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'DELOZIER CORPORATION'~&~	~&~'100950 MAIN STREET'~&~	~&~'SUITE 483D'~&~	~&~'GURNEE'~&~	~&~'IL'~&~	~&~'60031'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ALA17234'~&~	~&~'1'~&~	~&~'48A7ED7FBFD5FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'VELIZ COMPANY'~&~	~&~'100295 MAIN STREET'~&~	~&~'SUITE 154V'~&~	~&~'OAKBROOK TERRACE'~&~	~&~'IL'~&~	~&~'60181'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ALD17235'~&~	~&~'1'~&~	~&~'48A7ED7FBFDAFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'KUHLMAN CORPORATION'~&~	~&~'100300 MAIN STREET'~&~	~&~NULL~&~	~&~'GREENWOOD'~&~	~&~'IN'~&~	~&~'46142'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ALL128'~&~	~&~'1'~&~	~&~'48A7ED7FBEB2FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'BEERS CORPORATION'~&~	~&~'100004 MAIN STREET'~&~	~&~NULL~&~	~&~'INDIANAPOLIS'~&~	~&~'IN'~&~	~&~'46206-0894'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ALL128'~&~	~&~'112'~&~	~&~'48A7ED7FBEB3FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'BEERS CORPORATION'~&~	~&~'100005 MAIN STREET'~&~	~&~'PO BOX 3B'~&~	~&~'INDIANAPOLIS'~&~	~&~'IN'~&~	~&~'46206-7120'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ALL128'~&~	~&~'113'~&~	~&~'48A7ED7FBEB4FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'BEERS CORPORATION'~&~	~&~'100006 MAIN STREET'~&~	~&~NULL~&~	~&~'INDIANAPOLIS'~&~	~&~'IN'~&~	~&~'46222'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ALL128'~&~	~&~'114'~&~	~&~'48A7ED7FBF72FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'BEERS CORPORATION'~&~	~&~'100196 MAIN STREET'~&~	~&~NULL~&~	~&~'INDIANAOPOLIS'~&~	~&~'IN'~&~	~&~'46222'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ALL128'~&~	~&~'115'~&~	~&~'48A7ED7FC283FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'BEERS CORPORATION'~&~	~&~'100981 MAIN STREET'~&~	~&~NULL~&~	~&~'INDIANAPOLIS'~&~	~&~'IN'~&~	~&~'46206'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ALL17610'~&~	~&~'1'~&~	~&~'48A7ED7FC050FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'TOBIAS COMPANY'~&~	~&~'100418 MAIN STREET'~&~	~&~'SUITE 222T'~&~	~&~'NORTHBROOK'~&~	~&~'IL'~&~	~&~'60062'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ALV23403'~&~	~&~'1'~&~	~&~'48A7ED7FC266FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'SEGARRA CORPORATION'~&~	~&~'100952 MAIN STREET'~&~	~&~'SUITE 485S'~&~	~&~'DALLAS'~&~	~&~'TX'~&~	~&~'75201'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AME17925'~&~	~&~'1'~&~	~&~'48A7ED7FC070FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'BINKLEY CORPORATION'~&~	~&~'100450 MAIN STREET'~&~	~&~NULL~&~	~&~'WARRENDALE'~&~	~&~'PA'~&~	~&~'15086'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AME17925'~&~	~&~'2'~&~	~&~'48A7ED7FC22CFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'BINKLEY CORPORATION'~&~	~&~'100894 MAIN STREET'~&~	~&~'FLOOR 457B'~&~	~&~'PARK RIDGE'~&~	~&~'IL'~&~	~&~'60068'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AME207'~&~	~&~'1'~&~	~&~'48A7ED7FBEB5FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'LOWELL CORPORATION'~&~	~&~'100007 MAIN STREET'~&~	~&~NULL~&~	~&~'INDIANAPOLIS'~&~	~&~'IN'~&~	~&~'46240-4699'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AME207'~&~	~&~'2'~&~	~&~'48A7ED7FBF7DFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'LOWELL CORPORATION'~&~	~&~'100207 MAIN STREET'~&~	~&~'SUITE 115L'~&~	~&~'MISHAWAKA'~&~	~&~'IN'~&~	~&~'46545'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AME23319'~&~	~&~'1'~&~	~&~'48A7ED7FC249FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'HAMES CORPORATION'~&~	~&~'100923 MAIN STREET'~&~	~&~'SUITE 469H'~&~	~&~'MILWAUKEE'~&~	~&~'WI'~&~	~&~'53202'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AMI21274'~&~	~&~'1'~&~	~&~'48A7ED7FC1B8FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'SCANLON CORPORATION'~&~	~&~'100778 MAIN STREET'~&~	~&~NULL~&~	~&~'LINCOLN'~&~	~&~'RI'~&~	~&~'02865'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ANT7297'~&~	~&~'1'~&~	~&~'48A7ED7FBEB6FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'LEWELLEN CORPORATION'~&~	~&~'100008 MAIN STREET'~&~	~&~NULL~&~	~&~'INDIANAPOLIS'~&~	~&~'IN'~&~	~&~'46268-3027'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
