HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~PRCS_FIN_COA_CD::VARCHAR~&~	~&~PRCS_ORG_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~UNIV_FEIN_NBR::VARCHAR~&~	~&~REFUND_FIN_OBJ_CD::VARCHAR~&~	~&~UNIV_CLR_COA_CD::VARCHAR~&~	~&~UNIV_CLR_ACCT_NBR::VARCHAR~&~	~&~UNIV_CLR_SUBAC_NBR::VARCHAR~&~	~&~UNIV_CLR_OBJECT_CD::VARCHAR~&~	~&~UNIV_CLR_SUBOBJ_CD::VARCHAR~&~	~&~PMT_CLR_FIN_OBJ_CD::VARCHAR~&~	~&~AR_LOCKBOX_NBR::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~ORG_REMIT_ADDR_NM::VARCHAR~&~	~&~ORG_REMIT_LN1_ADDR::VARCHAR~&~	~&~ORG_REMIT_LN2_ADDR::VARCHAR~&~	~&~ORG_REMIT_CITY_NM::VARCHAR~&~	~&~ORG_REMIT_ST_CD::VARCHAR~&~	~&~ORG_REMIT_ZIP_CD::VARCHAR~&~	~&~ORG_CHCK_PAY_TO_NM::VARCHAR~&~	~&~FDOC_INITIATOR_ID::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2011'~&~	~&~'UA'~&~	~&~'AR'~&~	~&~'11E9B62B-ECD4-86E1-EE84-5BCE191D5B04'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66248'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'UA'~&~	~&~'VPIT'~&~	~&~'08E2DBC5-4E03-B808-DC11-838473050E9F'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66249'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'EA'~&~	~&~'BURS'~&~	~&~'2D064DFA-123F-ABF1-4DA0-F431FE4415FD'~&~	~&~'2'~&~	~&~'944567890'~&~	~&~'1999'~&~	~&~'EA'~&~	~&~'0309060'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66255'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'2325 Chester Blvd.'~&~	~&~NULL~&~	~&~'Richmond'~&~	~&~'IN'~&~	~&~'47374'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'IN'~&~	~&~'ACCT'~&~	~&~'64729D05-D3F6-B411-EE38-28750621582B'~&~	~&~'2'~&~	~&~'947772288'~&~	~&~'1999'~&~	~&~'IN'~&~	~&~'9732110'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66278'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'420 University Blvd'~&~	~&~NULL~&~	~&~'Indianapolis'~&~	~&~'IN'~&~	~&~'46202'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'UA'~&~	~&~'AR'~&~	~&~'9F651805-DC6A-8E15-8BB9-7A27B734E95C'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66248'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'UA'~&~	~&~'VPIT'~&~	~&~'B998A242-B64C-F967-B38C-2124964E0ACC'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66249'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'EA'~&~	~&~'BURS'~&~	~&~'da9b0d0b-6248-4d43-943b-bb0be219c287'~&~	~&~'2'~&~	~&~'944567890'~&~	~&~'1999'~&~	~&~'EA'~&~	~&~'0309060'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66255'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'2325 Chester Blvd.'~&~	~&~NULL~&~	~&~'Richmond'~&~	~&~'IN'~&~	~&~'47374'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'IN'~&~	~&~'ACCT'~&~	~&~'0d616601-af67-44cd-877c-f19e0d105202'~&~	~&~'2'~&~	~&~'947772288'~&~	~&~'1999'~&~	~&~'IN'~&~	~&~'9732110'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66278'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'420 University Blvd'~&~	~&~NULL~&~	~&~'Indianapolis'~&~	~&~'IN'~&~	~&~'46202'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'UA'~&~	~&~'AR'~&~	~&~'fc706d2a-9b48-4ddd-9161-a8a65aa6508d'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66248'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'UA'~&~	~&~'VPIT'~&~	~&~'626aacca-2959-4798-8a9b-6663af73ab4d'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66249'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BL'~&~	~&~'SRS'~&~	~&~'7a2a0b8d-b131-4562-9f4a-128ab78c1f2f'~&~	~&~'2'~&~	~&~'111111111'~&~	~&~'1999'~&~	~&~'BL'~&~	~&~'1042987'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'12345'~&~	~&~'Y'~&~	~&~'BL/SRS'~&~	~&~'123 MAIN'~&~	~&~NULL~&~	~&~'INDIANAPOLIS'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'IU'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'EA'~&~	~&~'BURS'~&~	~&~'03550bdf-2b67-48a3-bafe-dd431d017059'~&~	~&~'2'~&~	~&~'944567890'~&~	~&~'1999'~&~	~&~'EA'~&~	~&~'0309060'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66255'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'2325 Chester Blvd.'~&~	~&~NULL~&~	~&~'Richmond'~&~	~&~'IN'~&~	~&~'47374'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'IN'~&~	~&~'ACCT'~&~	~&~'81a1e78f-a53f-4582-912c-b2923299e946'~&~	~&~'2'~&~	~&~'947772288'~&~	~&~'1999'~&~	~&~'IN'~&~	~&~'9732110'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66278'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'420 University Blvd'~&~	~&~NULL~&~	~&~'Indianapolis'~&~	~&~'IN'~&~	~&~'46202'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'UA'~&~	~&~'AR'~&~	~&~'fde14bd6-73b1-48c3-8939-20909f0f3459'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66248'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'UA'~&~	~&~'VPIT'~&~	~&~'ccd8dcc4-44aa-464b-b074-f0fbfef03fff'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66249'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BL'~&~	~&~'SRS'~&~	~&~'55d8a32b-fd11-4dcd-aa5c-dbf1a5624ba9'~&~	~&~'2'~&~	~&~'111111111'~&~	~&~'1999'~&~	~&~'BL'~&~	~&~'1042987'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'12345'~&~	~&~'Y'~&~	~&~'BL/SRS'~&~	~&~'123 MAIN'~&~	~&~NULL~&~	~&~'INDIANAPOLIS'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'IU'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'EA'~&~	~&~'BURS'~&~	~&~'042b8078-bbef-4eba-bf4b-7b70e3715c4c'~&~	~&~'2'~&~	~&~'944567890'~&~	~&~'1999'~&~	~&~'EA'~&~	~&~'0309060'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66255'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'2325 Chester Blvd.'~&~	~&~NULL~&~	~&~'Richmond'~&~	~&~'IN'~&~	~&~'47374'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'IN'~&~	~&~'ACCT'~&~	~&~'cba8c0a7-5d8e-43c3-8a3d-9f82d992ab7b'~&~	~&~'2'~&~	~&~'947772288'~&~	~&~'1999'~&~	~&~'IN'~&~	~&~'9732110'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66278'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'420 University Blvd'~&~	~&~NULL~&~	~&~'Indianapolis'~&~	~&~'IN'~&~	~&~'46202'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'UA'~&~	~&~'AR'~&~	~&~'08d2ffb4-0c79-4eb6-b24d-3642681cae67'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66248'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'UA'~&~	~&~'VPIT'~&~	~&~'0bb1724c-d4f0-44d2-933f-0834293029c3'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66249'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'BL'~&~	~&~'SRS'~&~	~&~'5668a43f-fd04-410c-8d4c-5215e0995d22'~&~	~&~'2'~&~	~&~'111111111'~&~	~&~'1999'~&~	~&~'BL'~&~	~&~'1042987'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'12345'~&~	~&~'Y'~&~	~&~'BL/SRS'~&~	~&~'123 MAIN'~&~	~&~NULL~&~	~&~'INDIANAPOLIS'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'IU'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'EA'~&~	~&~'BURS'~&~	~&~'63fe889b-cc84-47e1-8352-8aaba59753e2'~&~	~&~'2'~&~	~&~'944567890'~&~	~&~'1999'~&~	~&~'EA'~&~	~&~'0309060'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66255'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'2325 Chester Blvd.'~&~	~&~NULL~&~	~&~'Richmond'~&~	~&~'IN'~&~	~&~'47374'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'IN'~&~	~&~'ACCT'~&~	~&~'c1262834-bcac-4acc-a582-2b85e07ae1c2'~&~	~&~'2'~&~	~&~'947772288'~&~	~&~'1999'~&~	~&~'IN'~&~	~&~'9732110'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66278'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'420 University Blvd'~&~	~&~NULL~&~	~&~'Indianapolis'~&~	~&~'IN'~&~	~&~'46202'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'UA'~&~	~&~'AR'~&~	~&~'985ee382-d57f-4e28-99ac-10da3e92d5e9'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66248'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'UA'~&~	~&~'VPIT'~&~	~&~'420dccd4-36bb-4cc8-b36d-f1308179c1ce'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66249'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
