HEADER[~&~	~&~CGPRPSL_NBR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PERSON_UNVL_ID::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~FNL_BILLED_IND::VARCHAR~&~	~&~CURR_LST_BILLED_DT::TIMESTAMP~&~	~&~PREV_LST_BILLED_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'468'~&~	~&~'BL'~&~	~&~'4624777'~&~	~&~'49D358CCEFF35F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4146202628'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'468'~&~	~&~'BL'~&~	~&~'4831473'~&~	~&~'49D358CCE9CC5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'510'~&~	~&~'BL'~&~	~&~'4624778'~&~	~&~'49D358CCEFF45F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4189500212'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'510'~&~	~&~'BL'~&~	~&~'4831474'~&~	~&~'49D358CCE9CD5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'550'~&~	~&~'BL'~&~	~&~'4624779'~&~	~&~'49D358CCEFF55F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3098006714'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'550'~&~	~&~'BL'~&~	~&~'4831477'~&~	~&~'49D358CCE9CE5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'569'~&~	~&~'BL'~&~	~&~'4624780'~&~	~&~'49D358CCEFF65F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'1421900725'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'569'~&~	~&~'BL'~&~	~&~'4831478'~&~	~&~'49D358CCE9CF5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'591'~&~	~&~'BL'~&~	~&~'4624781'~&~	~&~'49D358CCEFF75F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'5366808694'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'591'~&~	~&~'BL'~&~	~&~'4831480'~&~	~&~'49D358CCE9D05F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'607'~&~	~&~'BL'~&~	~&~'4624782'~&~	~&~'49D358CCEFF85F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'2341000360'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'607'~&~	~&~'BL'~&~	~&~'4831483'~&~	~&~'49D358CCE9D15F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'667'~&~	~&~'BL'~&~	~&~'4624784'~&~	~&~'49D358CCEFF95F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3012703100'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'667'~&~	~&~'BL'~&~	~&~'4831484'~&~	~&~'49D358CCE9D25F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'702'~&~	~&~'BL'~&~	~&~'4624785'~&~	~&~'49D358CCEFFA5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'5335901264'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'702'~&~	~&~'BL'~&~	~&~'4831488'~&~	~&~'49D358CCE9D35F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'817'~&~	~&~'BL'~&~	~&~'4624788'~&~	~&~'49D358CCEFFB5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4542806317'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'817'~&~	~&~'BL'~&~	~&~'4632922'~&~	~&~'49D358CCE9D45F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'822'~&~	~&~'BL'~&~	~&~'4624789'~&~	~&~'49D358CCEFFC5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'5335901264'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'822'~&~	~&~'BL'~&~	~&~'4831460'~&~	~&~'49D358CCE9D55F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'914'~&~	~&~'BL'~&~	~&~'4624790'~&~	~&~'49D358CCEFFD5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'2191200653'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'914'~&~	~&~'BL'~&~	~&~'4831465'~&~	~&~'49D358CCE9D65F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'927'~&~	~&~'BL'~&~	~&~'4624791'~&~	~&~'49D358CCEFFE5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'1659405606'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'927'~&~	~&~'BL'~&~	~&~'4831466'~&~	~&~'49D358CCE9D75F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'941'~&~	~&~'BL'~&~	~&~'4624792'~&~	~&~'49D358CCEFFF5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4446301330'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'941'~&~	~&~'BL'~&~	~&~'4831468'~&~	~&~'49D358CCE9D85F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'980'~&~	~&~'BL'~&~	~&~'4624793'~&~	~&~'49D358CCF0005F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'980'~&~	~&~'BL'~&~	~&~'4831469'~&~	~&~'49D358CCE9D95F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'985'~&~	~&~'BL'~&~	~&~'4624794'~&~	~&~'49D358CCF0015F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4667608469'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'985'~&~	~&~'BL'~&~	~&~'4631577'~&~	~&~'49D358CCE9DA5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1043'~&~	~&~'BL'~&~	~&~'4624795'~&~	~&~'49D358CCF0025F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4965407189'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1043'~&~	~&~'BL'~&~	~&~'4631583'~&~	~&~'49D358CCE9DB5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1046'~&~	~&~'BL'~&~	~&~'4624796'~&~	~&~'49D358CCF0035F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3889504703'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1046'~&~	~&~'BL'~&~	~&~'4631584'~&~	~&~'49D358CCE9DC5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1072'~&~	~&~'BL'~&~	~&~'4624797'~&~	~&~'49D358CCF0045F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3889504703'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1072'~&~	~&~'BL'~&~	~&~'4631585'~&~	~&~'49D358CCE9DD5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1134'~&~	~&~'BL'~&~	~&~'4624798'~&~	~&~'49D358CCF0055F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'5430509566'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1134'~&~	~&~'BL'~&~	~&~'4631586'~&~	~&~'49D358CCE9DE5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1140'~&~	~&~'BL'~&~	~&~'4624799'~&~	~&~'49D358CCF0065F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4667608469'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1140'~&~	~&~'BL'~&~	~&~'4631596'~&~	~&~'49D358CCE9DF5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1172'~&~	~&~'BL'~&~	~&~'4631560'~&~	~&~'49D358CCE9E05F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1172'~&~	~&~'BL'~&~	~&~'4724752'~&~	~&~'49D358CCF0075F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3889504703'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1247'~&~	~&~'BL'~&~	~&~'4631561'~&~	~&~'49D358CCE9E15F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1247'~&~	~&~'BL'~&~	~&~'4823204'~&~	~&~'49D358CCF0085F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'1308508136'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1277'~&~	~&~'BL'~&~	~&~'4631562'~&~	~&~'49D358CCE9E25F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1277'~&~	~&~'BL'~&~	~&~'4823205'~&~	~&~'49D358CCF0095F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'5430509566'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1290'~&~	~&~'BL'~&~	~&~'4631564'~&~	~&~'49D358CCE9E35F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1290'~&~	~&~'BL'~&~	~&~'4823206'~&~	~&~'49D358CCF00A5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'6012204256'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1326'~&~	~&~'BL'~&~	~&~'4631565'~&~	~&~'49D358CCE9E45F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1326'~&~	~&~'BL'~&~	~&~'4823207'~&~	~&~'49D358CCF00B5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4146202628'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1356'~&~	~&~'BL'~&~	~&~'4631566'~&~	~&~'49D358CCE9E55F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1356'~&~	~&~'BL'~&~	~&~'4824700'~&~	~&~'49D358CCF00C5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3098006714'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1404'~&~	~&~'BL'~&~	~&~'4631567'~&~	~&~'49D358CCE9E65F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1404'~&~	~&~'BL'~&~	~&~'4824701'~&~	~&~'49D358CCF00D5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4146202628'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1412'~&~	~&~'BL'~&~	~&~'4631569'~&~	~&~'49D358CCE9E75F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1412'~&~	~&~'BL'~&~	~&~'4824702'~&~	~&~'49D358CCF00E5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4446301330'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1455'~&~	~&~'BL'~&~	~&~'4631573'~&~	~&~'49D358CCE9E85F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1455'~&~	~&~'BL'~&~	~&~'4824703'~&~	~&~'49D358CCF00F5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4446301330'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1475'~&~	~&~'BL'~&~	~&~'4631530'~&~	~&~'49D358CCE9E95F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1475'~&~	~&~'BL'~&~	~&~'4824704'~&~	~&~'49D358CCF0105F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4446301330'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1510'~&~	~&~'BL'~&~	~&~'4631544'~&~	~&~'49D358CCE9EA5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1510'~&~	~&~'BL'~&~	~&~'4824705'~&~	~&~'49D358CCF0115F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'6126708165'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1523'~&~	~&~'BL'~&~	~&~'4631547'~&~	~&~'49D358CCE9EB5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1523'~&~	~&~'BL'~&~	~&~'4824706'~&~	~&~'49D358CCF0125F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3889504703'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1641'~&~	~&~'BL'~&~	~&~'4631510'~&~	~&~'49D358CCE9EC5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1641'~&~	~&~'BL'~&~	~&~'4824707'~&~	~&~'49D358CCF0135F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4189500212'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1671'~&~	~&~'BL'~&~	~&~'4631523'~&~	~&~'49D358CCE9ED5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1671'~&~	~&~'BL'~&~	~&~'4824708'~&~	~&~'49D358CCF0145F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'1736801902'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1701'~&~	~&~'BL'~&~	~&~'4631450'~&~	~&~'49D358CCE9EE5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
