HEADER[~&~	~&~CG_AGENCY_NBR::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CG_AGENCY_RPT_NM::VARCHAR~&~	~&~CG_AGENCY_FULL_NM::VARCHAR~&~	~&~CG_AGNCY_INDR_AMT::DECIMAL~&~	~&~CG_AGENCY_HIST_IND::VARCHAR~&~	~&~CG_AGNCY_IN_ST_IND::VARCHAR~&~	~&~CG_AGENCY_TYP_CD::VARCHAR~&~	~&~CG_RPTTO_AGNCY_NBR::VARCHAR~&~	~&~CAGE_NBR::VARCHAR~&~	~&~DODAC_NBR::VARCHAR~&~	~&~DUNS_NBR::VARCHAR~&~	~&~DUNS_PLUS_FOUR_NBR::VARCHAR~&~	~&~CUST_NBR::VARCHAR~&~	~&~CUST_TYP_CD::VARCHAR~&~	~&~CUST_CRTN_OPTN_CD::VARCHAR~&~	~&~CMPGN_ID::VARCHAR~&~	~&~STATE_AGENCY_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'12631'~&~	~&~'0292B100448CBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH-NIGMS'~&~	~&~'NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12636'~&~	~&~'0292B100448DBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH-NICHD'~&~	~&~'NATIONAL INSTITUTE OF CHILD HEALTH, HUMAN DEVL.'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12637'~&~	~&~'0292B100448EBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH-NHLBI'~&~	~&~'NATIONAL HEART, LUNG AND BLOOD INSTITUTE'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12651'~&~	~&~'0292B100448FBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'HEALTH MANPOWER EDU'~&~	~&~'HEALTH MANPOWER EDUCATION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12658'~&~	~&~'0292B1004490BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH-NINDS'~&~	~&~'NATIONAL INST OF NEUROLOGICAL DISORDERS & STROKE'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12673'~&~	~&~'0292B1004491BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'DEPT RESEARCH RES'~&~	~&~'DEPARTMENT OF RESEARCH RESOURCES'~&~	~&~'0.00'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12010'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12683'~&~	~&~'0292B1004492BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH-FOGARTY INTL CTR'~&~	~&~'FOGARTY INTERNATIONAL CENTER'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12815'~&~	~&~'0292B1004493BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'CDC'~&~	~&~'CENTERS FOR DISEASE CONTROL & PREVENTION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12010'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12851'~&~	~&~'0292B1004494BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH-NIMH'~&~	~&~'NATIONAL INSTITUTE OF MENTAL HEALTH'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12852'~&~	~&~'0292B1004495BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH-NIAAA'~&~	~&~'NATIONAL INSTITUTE ON ALCOHOL ABUSE & ALCOHOLISM'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12853'~&~	~&~'0292B1004496BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH-NIDA'~&~	~&~'NATIONAL INSTITUTE ON DRUG ABUSE'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'18500'~&~	~&~'0292B1004497BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NATIONAL SCIENCE FDN'~&~	~&~'NATIONAL SCIENCE FOUNDATION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'19000'~&~	~&~'0292B1004498BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'MISC UNITED STATES AGENCIES'~&~	~&~'MISCELLANEOUS UNITED STATES AGENCIES'~&~	~&~'0.00'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'F'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'19150'~&~	~&~'0292B1004499BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'US DEPT OF ENERGY'~&~	~&~'U.S. DEPARTMENT OF ENERGY'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'19275'~&~	~&~'0292B100449ABBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'US EPA'~&~	~&~'U.S. ENVIRONMENTAL PROTECTION AGENCY'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'19500'~&~	~&~'0292B100449BBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NASA'~&~	~&~'NATIONAL AERONAUTICS AND SPACE ADMINISTRATION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'20200'~&~	~&~'0292B100449CBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'EASTER SEAL FDN'~&~	~&~'EASTER SEAL FOUNDATION'~&~	~&~'0.00'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'20225'~&~	~&~'0292B100449DBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'EXXON EDU FDN'~&~	~&~'EXXON EDUCATION FOUNDATION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'20280'~&~	~&~'0292B100449EBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'THE FORD FOUNDATION'~&~	~&~'THE FORD FOUNDATION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'20325'~&~	~&~'0292B100449FBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'WILLIAM T GRANT FDN'~&~	~&~'WILLIAM T. GRANT FOUNDATION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'20337'~&~	~&~'0292B10044A0BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'JOHN SIMON GUGGENHEIM MEM.FDN.'~&~	~&~'JOHN SIMON GUGGENHEIM MEMORIAL FOUNDATION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'20456'~&~	~&~'0292B10044A1BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'LILLY ENDOWMENT'~&~	~&~'LILLY ENDOWMENT, INCORPORATED'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'20535'~&~	~&~'0292B10044A2BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'MISCELLANEOUS FOUNDATIONS'~&~	~&~'MISCELLANEOUS FOUNDATIONS'~&~	~&~'0.00'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'20557'~&~	~&~'0292B10044A3BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'CYSTIC FIBROSIS FDN'~&~	~&~'CYSTIC FIBROSIS FOUNDATION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'20565'~&~	~&~'0292B10044A4BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'MOD BIRTH DEFECTS FOUNDATION'~&~	~&~'MARCH OF DIMES BIRTH DEFECTS FOUNDATION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'20770'~&~	~&~'0292B10044A5BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'ALFRED P SLOAN FDN'~&~	~&~'ALFRED P. SLOAN FOUNDATION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'20780'~&~	~&~'0292B10044A6BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'SPENCER FDN'~&~	~&~'THE SPENCER FOUNDATION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'20927'~&~	~&~'0292B10044A7BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'WHITEHALL FDN INC'~&~	~&~'WHITEHALL FOUNDATION, INC.'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'D'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'30026'~&~	~&~'0292B10044A8BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'AM PHILOSOPHICAL SOC'~&~	~&~'AMERICAN PHILOSOPHICAL SOCIETY'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'30042'~&~	~&~'0292B10044A9BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'ASSN ADV MENTAL HLTH'~&~	~&~'ASSOCIATION FOR ADVANCEMENT OF MENTAL HEALTH RESEA'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'30105'~&~	~&~'0292B10044AABBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'UNIV OF CALIFORNIA'~&~	~&~'REGENTS OF THE UNIVERSITY OF CALIFORNIA'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'H'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'30109'~&~	~&~'0292B10044ABBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'CTR ADV STUDY BEH SC'~&~	~&~'CENTER FOR ADVANCED STUDY OF BEHAVIORAL SCIENCE'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'30155'~&~	~&~'0292B10044ACBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'DARTMOUTH COLLEGE'~&~	~&~'DARTMOUTH COLLEGE'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'H'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'30420'~&~	~&~'0292B10044ADBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'AM HEART-IND AFFIL'~&~	~&~'AMERICAN HEART ASSOCIATION, INDIANA AFFILIATE, INC'~&~	~&~'0.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'30493'~&~	~&~'0292B10044AEBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'MISCELLANEOUS NON PROFIT'~&~	~&~'MISCELLANEOUS NON PROFIT'~&~	~&~'0.00'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
